preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine
raw_l2,2,15,0.26232031159346486,0.22692352695043866,0.6663665753201798,0.8090904951095581
raw_l2,2,16,0.24486033623104037,0.21758279953088408,0.6340908166551796,0.7887600064277649
raw_l2,2,17,0.18969076891840259,0.17564425317502397,0.6063570999084337,0.7686062057813009
raw_l2,2,18,0.33845189373746176,0.3007134390109893,0.6854273223827473,0.8025601307551066
raw_l2,2,19,0.13718353486167656,0.1288527572291007,0.536894197464503,0.6966049472490946
raw_l2,3,4,0.10387933095542273,0.10978463608669119,0.4818829467870989,0.6451647480328878
raw_l2,3,5,0.10517376237370797,0.11187711348994943,0.4993849776250573,0.667251189549764
raw_l2,3,6,0.12137234350462418,0.10957290411568628,0.5269746944949177,0.6853515108426412
raw_l2,3,7,0.041127209859278716,0.04233627222671303,0.4655603958567608,0.6256709098815918
raw_l2,3,8,0.07787670644013597,0.07613311258929296,0.46202415460530294,0.6254973212877909
raw_l2,3,9,0.13709931881977536,0.1435710561786056,0.49868036754044914,0.6688095132509867
raw_l2,3,10,0.1805868052571788,0.2082950618130732,0.5445261909394398,0.692446211973826
raw_l2,3,11,0.18544204473957177,0.16941305463430012,0.5941786675724369,0.7267472346623739
raw_l2,3,12,0.13979848602829864,0.1451872546756483,0.5505653918830238,0.7116813460985819
raw_l2,3,13,0.203818917584764,0.1997831911903397,0.5772207584066799,0.7313982446988424
raw_l2,3,14,0.08617332872642336,0.0772117573712843,0.4951529201746026,0.6491840779781342
raw_l2,3,15,0.13730144473862463,0.15686421069756415,0.5197021510943441,0.6769720713297526
raw_l2,3,16,0.16841149537200834,0.18423034977887728,0.4997114506283781,0.6484994093577067
raw_l2,3,17,0.12986901795242234,0.15380514671954343,0.478499499298138,0.641834557056427
raw_l2,3,18,0.19130303318863454,0.17920974085235722,0.5999254718194439,0.7306068738301595
raw_l2,3,19,0.12219700268068162,0.1241551092463851,0.5349903212296491,0.7063452204068502
raw_l2,4,5,0.11990165847476758,0.1095185708289147,0.552873786855999,0.7324548562367758
raw_l2,4,6,0.11320252893306641,0.09753712392195149,0.5347056191829821,0.6787392695744833
raw_l2,4,7,0.030224767304256918,0.03767049780698601,0.404362646651783,0.5504971742630005
raw_l2,4,8,0.07782577659265119,0.06336116304064088,0.49653575868698496,0.652053952217102
raw_l2,4,9,0.08891676991299677,0.08683458850598509,0.5053769114334803,0.6935412287712097
raw_l2,4,10,0.142538134374122,0.14319425945362727,0.5331589945510886,0.7018070816993713
raw_l2,4,11,0.14662021887265272,0.14087180110536712,0.5288543875443404,0.6701515714327494
raw_l2,4,12,0.051280462738569635,0.05458680743470096,0.43995589866365914,0.6019010146458944
raw_l2,4,13,0.1401458378452476,0.1456398199344867,0.4553375038335845,0.6034302910168966
raw_l2,4,14,0.09116549785981655,0.08194437188222974,0.525656710888919,0.6753689646720886
raw_l2,4,15,0.20893822119257754,0.19712554167918903,0.6134823457250174,0.7748744487762451
raw_l2,4,16,0.12274298725442237,0.12190568906028434,0.5116722342954944,0.6834854284922282
raw_l2,4,17,0.19275472936351945,0.16893061709027343,0.6141891542810284,0.7773555119832357
raw_l2,4,18,0.10083645979793165,0.08963761316205483,0.473617793548146,0.598827580610911
raw_l2,4,19,0.1714240847556369,0.16369511081585394,0.5508918648863446,0.7073313991228739
raw_l2,5,6,0.1356745482381165,0.13384840053404615,0.4996334048935775,0.6381157239278158
raw_l2,5,7,0.0492974533294887,0.05792955063063498,0.4588022947644503,0.6171025633811951
raw_l2,5,8,0.18917762451729664,0.16709742118397325,0.5977248019452075,0.7477035721143087
raw_l2,5,9,0.6084895794890691,0.5555464284314325,0.8495179301831437,0.9441016912460327
raw_l2,5,10,0.3355224721392246,0.29247190034918025,0.7185571871877484,0.8560916384061178
raw_l2,5,11,0.11319716877004588,0.11557788261715239,0.48204123672810295,0.6457727551460266
raw_l2,5,12,0.13013857305902873,0.12866554457997464,0.5574037371815377,0.7230344414710999
raw_l2,5,13,0.16326843950218928,0.17359115152828172,0.5045140114078681,0.669122556845347
raw_l2,5,14,0.05597525616747558,0.052526165257042894,0.4441670706357869,0.5787434776624044
raw_l2,5,15,0.4033722249434569,0.3516057001535317,0.756013643713526,0.883216400941213
raw_l2,5,16,0.36217582544826094,0.3154203042362984,0.7326142133374665,0.8726639747619629
raw_l2,5,17,0.33588693457524454,0.3116203645815759,0.7072141739848283,0.8425443371136984
raw_l2,5,18,0.08252269451789755,0.07512483020026625,0.49185301459894937,0.6544244289398193
raw_l2,5,19,0.20771715164235421,0.20938125255503456,0.5670253472760389,0.722547709941864
raw_l2,6,7,0.12969686365237917,0.11949533091667532,0.5320245833072265,0.7044532299041748
raw_l2,6,8,0.210857885261673,0.18142906599169703,0.6134526663610791,0.7568882902463278
raw_l2,6,9,0.09281633569642454,0.08812007516676662,0.48338889969803994,0.6213156878948212
raw_l2,6,10,0.08881157839792118,0.07615064922613796,0.4965269648013736,0.635726402203242
raw_l2,6,11,0.10875811342683307,0.10572212860787061,0.5305669967671478,0.6768309076627096
raw_l2,6,12,0.14918331311918137,0.13338329224045323,0.5181709157622705,0.6502803166707357
raw_l2,6,13,0.1935837401574644,0.18207868603930127,0.6020832715013251,0.7602332234382629
raw_l2,6,14,0.12038859627253118,0.10907542934063283,0.5533112826651629,0.7050870656967163
raw_l2,6,15,0.11958661973902515,0.10466432917436229,0.5326313614144086,0.6633625825246176
raw_l2,6,16,0.08714440565929854,0.07354426995625932,0.46747306597722604,0.5978747010231018
raw_l2,6,17,0.12930138003030273,0.11862690107552568,0.5162923219485491,0.6535520851612091
raw_l2,6,18,0.187464363064736,0.15788825645967672,0.5948030334508416,0.7087596853574117
raw_l2,6,19,0.09598722460310684,0.10129112854578738,0.48824971996970506,0.6389515598615011
raw_l2,7,8,0.07225322709570699,0.07750078827829793,0.48437161641510657,0.6619746287663778
raw_l2,7,9,0.04807218550689199,0.053971119456351496,0.45937609580058986,0.6086910963058472
raw_l2,7,10,0.03808552044731692,0.04395342851824339,0.40399770039891264,0.5595800280570984
raw_l2,7,11,0.170079550764661,0.16981230804938488,0.514174094751919,0.6545670827229818
raw_l2,7,12,0.03330551930159794,0.023367815848367834,0.41954858786685617,0.533639669418335
raw_l2,7,13,0.05906211298140344,0.06614942849276932,0.4566499912610762,0.6424320737520853
raw_l2,7,14,0.16127753708971432,0.1394108749183711,0.5253709096065505,0.6302774349848429
raw_l2,7,15,0.06213714463903358,0.07475909191535347,0.42635065838722336,0.5713956554730734
raw_l2,7,16,0.04065458152565091,0.04940688636458637,0.43399694192627863,0.5966106255849203
raw_l2,7,17,0.0672343210252448,0.07926015144690941,0.48120361912362336,0.6391752163569132
raw_l2,7,18,0.0589398553031849,0.049605603176445655,0.47174579514863313,0.591937800248464
raw_l2,7,19,0.09914433414564731,0.10584927819633184,0.5120888446263313,0.6569810708363851
raw_l2,8,9,0.18882161734821926,0.1727760815629479,0.5822145861982164,0.7163657943407694
raw_l2,8,10,0.044192303827704504,0.03663829105157086,0.45395796302830643,0.6093944410483042
raw_l2,8,11,0.069255381654136,0.06582210357519354,0.43368805669418053,0.558425654967626
raw_l2,8,12,0.019694017439041606,0.02171841833397803,0.3788647753217188,0.5283349851767222
raw_l2,8,13,0.12988035048483015,0.12441294715635333,0.5353475728326095,0.692821741104126
raw_l2,8,14,0.05226173795441295,0.051433853549471296,0.43363199567340827,0.5823685725529989
raw_l2,8,15,0.11222717532179519,0.09710398104392515,0.5195757389886811,0.665018747250239
raw_l2,8,16,0.0485820552230811,0.04476026569315034,0.44488707002021494,0.6119874715805054
raw_l2,8,17,0.13609580116166253,0.1231431431929132,0.5250642228458553,0.6625959873199463
