preprocess,seed,objective_final,objective_delta_last10,objective_still_changing,fit_sec,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
center_l2,0,0.15252193808555603,1.4901161193847656e-08,0,0.4325051410123706,0.31888278080250804,0.33762914645447023,0.3434880727430218,0.18752171099185944,0.18597933650016785,0.04382025822997093,0.1032656580209732,0.02221445428993221
center_l2,1,0.15474684536457062,0.0,0,0.43190049240365624,0.30820920214175085,0.3379809018789236,0.35380989597932555,0.19601866602897644,0.205786794424057,0.051334820687770844,0.12364708632230759,0.019638945041512635
center_l2,2,0.15565094351768494,7.450580596923828e-07,0,0.4323487267829478,0.31292602253653035,0.32044699320562414,0.3666269842578455,0.1932757943868637,0.1901186853647232,0.043374404311180115,0.1055431216955185,0.022997110109340975
center_l2,3,0.1544017344713211,5.513429641723633e-07,0,0.4316826919093728,0.32200241172312893,0.3354119880447125,0.34258560023215856,0.19111286103725433,0.1979231834411621,0.047668181359767914,0.1123897135257721,0.02102068431819356
center_l2,4,0.1570252925157547,7.450580596923828e-08,0,0.4315931419841945,0.3174493774478605,0.32807458973775533,0.35447603281438417,0.19421879947185516,0.19763264060020447,0.04634132236242294,0.11206308007240295,0.021375737449751187
center_l2,5,0.15742425620555878,0.00011369585990905762,1,0.4318468449637294,0.3097107581098862,0.3397352820583848,0.350553959831729,0.19489631056785583,0.19442230463027954,0.04729926213622093,0.11276625841856003,0.02103167667520773
center_l2,6,0.15523874759674072,4.276633262634277e-06,0,0.43186998274177313,0.30845982788167386,0.344224560662971,0.3473156114553551,0.19360381364822388,0.19416368007659912,0.045922331511974335,0.10977041721343994,0.021852805744166082
center_l2,7,0.15583175420761108,0.0004415661096572876,1,0.4312405833043158,0.31325359477555254,0.32665767491862907,0.36008873030581834,0.19014327228069305,0.1931513249874115,0.04396785423159599,0.1061849519610405,0.022711308826972604
center_l2,8,0.1552344411611557,0.0001249462366104126,1,0.43193835485726595,0.3317779148158286,0.3336455162725357,0.33457656891163573,0.19135019183158875,0.18899334967136383,0.0403163842856884,0.10159818828105927,0.02631570269191831
center_l2,9,0.15602372586727142,0.00022906064987182617,1,0.4326813677325845,0.3000122015162857,0.3373873146001585,0.36260048388355576,0.19408363103866577,0.1955486685037613,0.0465148501098156,0.11074912548065186,0.021865996572583084
center_l2,10,0.15841026604175568,0.0,0,0.43188938312232494,0.3206019854395239,0.3262949271371615,0.3531030874233146,0.19812040030956268,0.19912761449813843,0.04800580441951752,0.1163419634103775,0.020678822015052934
center_l2,11,0.15778589248657227,2.3990869522094727e-06,0,0.43156090565025806,0.3278305594120408,0.3339324167906055,0.3382370237973537,0.20098687708377838,0.20684438943862915,0.04965594410896301,0.11953586339950562,0.020123707985837447
center_l2,12,0.15196391940116882,1.4901161193847656e-08,0,0.43182208202779293,0.31281390049498586,0.3427570810015796,0.34442901850343455,0.18998658657073975,0.19361692667007446,0.045599572360515594,0.10887263715267181,0.021824225615929244
center_l2,13,0.1547737866640091,4.667043685913086e-05,1,0.4322906374000013,0.31968302439313945,0.32199691554462184,0.3583200600622387,0.18915173411369324,0.18966662883758545,0.04221237078309059,0.10475481301546097,0.024040284789985523
center_l2,14,0.15587745606899261,3.297626972198486e-05,1,0.4325394816696644,0.3151717610745249,0.3385404128509447,0.3462878260745304,0.19638852775096893,0.19517353177070618,0.04656608775258064,0.11193093657493591,0.021317477957576096
center_l2,15,0.155872642993927,0.0,0,0.43182222126051784,0.3081223625213389,0.34234926455635395,0.3495283729223071,0.19661803543567657,0.19995029270648956,0.05155899375677109,0.1220458596944809,0.019331159045115932
center_l2,16,0.15579891204833984,1.1920928955078125e-07,0,0.4317664527334273,0.3088522550270797,0.3426251727174096,0.34852257225551075,0.19167427718639374,0.19230595231056213,0.04232235252857208,0.10380179435014725,0.023634666816162723
center_l2,17,0.1564410775899887,0.00010180473327636719,1,0.43134464602917433,0.31098916923063397,0.3260102250904946,0.3630006056788715,0.19299893081188202,0.19369646906852722,0.04346649348735809,0.10723105818033218,0.02290257583901913
center_l2,18,0.1585526466369629,6.92903995513916e-06,0,0.43179783085361123,0.3268478426949742,0.33637491851915363,0.3367772387858722,0.1996242105960846,0.20392093062400818,0.04785950481891632,0.11308245360851288,0.021204256680330165
center_l2,19,0.15592338144779205,1.1324882507324219e-06,0,0.4314467669464648,0.33162072411052596,0.3327969063110419,0.3355823695784321,0.19073748588562012,0.19040046632289886,0.043619878590106964,0.10835044085979462,0.02319167482849175
zscore_l2,0,0.1526595801115036,0.00015625357627868652,1,0.432067000772804,0.3225575257523444,0.3296728784476154,0.34776959580004024,0.184040367603302,0.17816194891929626,0.03959444537758827,0.09678125381469727,0.02486361233034671
zscore_l2,1,0.1560940444469452,4.550814628601074e-05,1,0.4326293240301311,0.3180011937699717,0.3334025851825226,0.34859622104750565,0.1913243979215622,0.1882745921611786,0.04147392883896828,0.09962527453899384,0.023802849878479495
zscore_l2,2,0.15531450510025024,0.0,0,0.431957651861012,0.3171229044445397,0.326322408029697,0.35655468752576336,0.19498498737812042,0.19497345387935638,0.04475642740726471,0.10914818942546844,0.022155095562055704
zscore_l2,3,0.15465672314167023,8.940696716308594e-08,0,0.4325050450861454,0.3150695321542931,0.33064790051477205,0.35428256733093483,0.19231881201267242,0.19779716432094574,0.04843359440565109,0.11388023942708969,0.02063924952980193
zscore_l2,4,0.15615125000476837,0.0,0,0.43266457226127386,0.3109737799308141,0.34045747991421565,0.34856874015497025,0.1968030333518982,0.19812868535518646,0.04388982802629471,0.10742200165987015,0.02221885123273788
zscore_l2,5,0.15760566294193268,4.470348358154297e-08,0,0.43279867293313146,0.3227608843571065,0.33841949692378887,0.3388196187191046,0.19405069947242737,0.19375520944595337,0.0425243154168129,0.1039227694272995,0.02322245342813142
zscore_l2,6,0.1540079563856125,3.0994415283203125e-05,1,0.43211783142760396,0.306978058156164,0.32982567221011233,0.36319626963372365,0.19222046434879303,0.19141894578933716,0.044710177928209305,0.10600706934928894,0.022422209837499985
zscore_l2,7,0.15509530901908875,7.897615432739258e-07,0,0.43257161136716604,0.32314341838119953,0.3245240584221791,0.3523325231966214,0.19098816812038422,0.19499792158603668,0.04788476228713989,0.11435841023921967,0.020444684810651155
zscore_l2,8,0.15507061779499054,5.9992074966430664e-05,1,0.4328149459324777,0.32665657568292766,0.33572746869101916,0.33761595562605323,0.1908678114414215,0.18831977248191833,0.04091819375753403,0.10132553428411484,0.02507356634931732
zscore_l2,9,0.15771161019802094,2.2351741790771484e-07,0,0.43274248018860817,0.2912457967974867,0.344066270721967,0.36468793248054626,0.19513697922229767,0.1964641511440277,0.04826436936855316,0.11262291669845581,0.02062166175857926
zscore_l2,10,0.15890540182590485,-1.4901161193847656e-08,0,0.43251596577465534,0.3312843579858924,0.332003258134619,0.3367123838794886,0.1994980275630951,0.20172685384750366,0.04971681162714958,0.11838217079639435,0.020347952068926475
zscore_l2,11,0.15523666143417358,0.0,0,0.43241389421746135,0.3191828721489948,0.3207602753805279,0.36005685247047725,0.19047942757606506,0.19060246646404266,0.042511679232120514,0.10299098491668701,0.023251033556368258
zscore_l2,12,0.1563422530889511,2.2456049919128418e-05,1,0.4321813057176769,0.31236541232880777,0.33477553057359216,0.3528590570976,0.19238878786563873,0.19323104619979858,0.04328618943691254,0.10583403706550598,0.023252132792069675
zscore_l2,13,0.1545242816209793,3.129243850708008e-07,0,0.4313019383698702,0.3189971013154554,0.3238667154727318,0.35713618321181284,0.1914799064397812,0.1926400512456894,0.043334320187568665,0.10515494644641876,0.02324773584926401
zscore_l2,14,0.15652436017990112,9.819865226745605e-06,0,0.4316859100945294,0.3270962699634944,0.3289869553699313,0.34391677466657433,0.19353607296943665,0.19802916049957275,0.045566312968730927,0.11023770272731781,0.021465874777267364
zscore_l2,15,0.15730233490467072,8.195638656616211e-07,0,0.4328429759480059,0.29401037458655,0.34512263623102857,0.36086698918242144,0.1965048909187317,0.20301653444766998,0.048885829746723175,0.11632920056581497,0.020502944302826245
zscore_l2,16,0.1562189757823944,1.9475817680358887e-05,1,0.43231022311374545,0.2890857986442027,0.32958493959150204,0.38132926176429527,0.19289277493953705,0.19171828031539917,0.041394975036382675,0.10369493812322617,0.023971032940796264
zscore_l2,17,0.15701282024383545,0.00022514164447784424,1,0.4324015909805894,0.32129340469571505,0.33577253735477725,0.3429340579495077,0.19349664449691772,0.1933000087738037,0.04481343552470207,0.10865624248981476,0.022300194674642723
zscore_l2,18,0.1554214507341385,1.4901161193847656e-07,0,0.43218020908534527,0.3200941385454693,0.3354284765802338,0.3444773848742969,0.19435125589370728,0.1911574900150299,0.046311963349580765,0.10855753719806671,0.021430699234822027
zscore_l2,19,0.1558390110731125,0.0,0,0.4328623707406223,0.3249659511741486,0.3357131786269007,0.3393208701989507,0.18993531167507172,0.19135241210460663,0.042833685874938965,0.10605686902999878,0.02329170527732068
pca64_l2,0,0.1818874478340149,1.5124678611755371e-05,1,0.16931833792477846,0.3237084255317278,0.3275898267934305,0.3487017476748417,0.21472780406475067,0.20350125432014465,0.042808979749679565,0.10615105926990509,0.023717109493768984
pca64_l2,1,0.18020161986351013,2.810359001159668e-05,1,0.16431732708588243,0.3168469962834841,0.3169887976889669,0.36616420602754907,0.21726931631565094,0.20641174912452698,0.05284298211336136,0.12398044764995575,0.019069540948178733
pca64_l2,2,0.18259382247924805,1.4901161193847656e-08,0,0.16430398682132363,0.30042221643291417,0.33882841260471597,0.36074937096236986,0.21978725492954254,0.19990134239196777,0.04763562232255936,0.1117410808801651,0.021010791196880808
