task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
pusht,3,0,0,2,796199,734464,0.02741904169491401,0.0034346570724407845,0.023984384622473227,0.36063021236582593,0.07523174940050938,0.7643425076676669,0.3617569153344672
pusht,3,0,1,2,750570,734464,0.03270687477544922,0.003315104714857143,0.029391770060592078,0.4375078849896644,0.06168148636117829,0.8209237516748402,0.4377114214893913
pusht,3,1,0,1,797808,816153,0.02662788067547696,0.0036153849520122903,0.023012495723464668,0.350893088470979,0.04280070484283663,0.7553849790898547,0.34839973033636595
pusht,3,1,0,2,797808,667272,0.03294640375690343,0.007082651533072924,0.025863752223830506,0.3975669899641936,0.051615904132187584,0.7941894917865013,0.39601960361364563
pusht,3,1,1,2,816153,667272,0.027650487986479934,0.006356229608365042,0.021294258378114893,0.34274666471832727,0.008815199289350907,0.7493868070081912,0.34238087855811444
pusht,3,2,0,1,779464,697251,0.02926986333593954,0.006587195048916048,0.02268266828702349,0.35828523380446287,0.02181448396990806,0.7620812107125206,0.3581959895810262
pusht,3,2,0,2,779464,804518,0.02625296932255053,0.0032793765224698,0.02297359280008073,0.3471385457501025,0.02247202808986884,0.7565134884234274,0.3472647378500602
pusht,3,2,1,2,697251,804518,0.03144450778087187,0.004467756879336043,0.026976750901535826,0.41593970279179726,0.044286512059776934,0.8068716389957621,0.4158976808031616
reacher,3,0,0,1,650373,661417,0.028172354746741103,0.0008280384988588131,0.02734431624788229,1.4818915539264663,0.37504336140843975,0.912917353111171,0.5473918634023
reacher,3,0,0,2,650373,668362,0.028618156533749488,0.0013193831231429424,0.027298773410606544,1.5195953903365242,0.4093328078033121,0.8303195989191505,0.5200432171220021
reacher,3,0,1,2,661417,668362,0.0155731996214653,0.0003832461080831036,0.015189953513382197,1.2985204494075313,0.03428944639487232,0.8963811992720916,0.7015711987216801
reacher,3,1,0,1,668479,665296,0.029347416485402802,0.0005944348171569306,0.028752981668245872,1.540286539291205,0.23493091067076935,0.7953549073409449,0.47428312799847183
reacher,3,1,0,2,668479,646377,0.025571454362181462,0.0005667001813013093,0.02500475418088015,1.5259478943200109,0.39890005140544005,0.9009911419064907,0.5087509801576683
reacher,3,1,1,2,665296,646377,0.015221445094054641,0.00024210934978623487,0.014979335744268405,1.2038295919537372,0.16396914073467064,0.9290382090803279,0.7983477508593668
reacher,3,2,0,1,655723,665508,0.018326116034230306,0.00034303459859627236,0.017983081435634034,1.4352950830468627,0.3103013223008684,0.8782763668215203,0.5845420838720001
reacher,3,2,0,2,655723,658921,0.02149490617772897,0.0005381729356234024,0.02095673324210557,1.5580509542789265,0.22181439627467384,0.8406964196575254,0.4524398379280921
reacher,3,2,1,2,665508,658921,0.011723721663843997,0.00020361836853847372,0.011520103295305523,1.1826925488097757,0.08848692602619442,0.9459920731675198,0.8150089203993293
cube,3,0,0,1,637643,663846,0.026782793039350182,0.00039563818257311014,0.026387154856777072,0.4165155753229498,0.0462545701203006,0.8239979113755886,0.41591726105609295
cube,3,0,0,2,637643,678663,0.04497893290578435,0.0003275374994558319,0.044651395406328516,0.6884164869885112,0.02045487532610557,0.8918253459771285,0.6294148381854295
cube,3,0,1,2,663846,678663,0.03905356072297129,0.00039424235856260083,0.03865931836440869,0.6241068388224241,0.025799694794195176,0.8666326803684792,0.5790185858287379
cube,3,1,0,1,641603,658410,0.027358820740857485,0.0004802329835149893,0.026878587757342497,0.4106769409571921,0.020989070945771782,0.8240924293274664,0.4096789712980419
cube,3,1,0,2,641603,680139,0.0425372072213712,0.0003824761150877248,0.042154731106283476,0.6839668184143105,0.03971266921352526,0.897476266731659,0.6394643092468919
cube,3,1,1,2,658410,680139,0.041513936298999805,0.0006125026438387905,0.04090143365516102,0.6487544187771502,0.060701740159297,0.8992425474571386,0.6425629673779528
cube,3,2,0,1,712031,637389,0.045843303219232134,0.0005354658244160636,0.04530783739481607,0.7284831246772385,0.03923355617343672,0.9161875736232878,0.6773282068483678
cube,3,2,0,2,712031,630732,0.04596334198350691,0.0008420401574625515,0.04512130182604436,0.7139865666754022,0.05420815181993757,0.9123351513038349,0.6576760536480183
cube,3,2,1,2,637389,630732,0.020962532560021566,0.0006902165337796724,0.020272316026241893,0.30896429925497304,0.01497459564650089,0.7761296018123807,0.30860037857328615
