task,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,affine_response_contrast_ratio,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
pusht,3,1,0.9805020974396284,0.001656722526499621,1.057321548461914,0.9438166666666666,2.1904804706573486,0.49922570003989936,0.01464536421186576,0.9035808280844456,0.0018673434084389127,0.0018995978553286762,0.04691160088028071,0.044792762038081295,0.9548333716513592,1.0,1.0,0.3014038337042736,0.5072767538644906,0.5071189811398464,0.032074101720755276,0.8657434682163344,0.01201485099873112,0.00763005634656557
pusht,3,2,0.9805020974396284,0.001656722526499621,1.057321548461914,0.9359466666666667,2.0681986808776855,0.4704325026200306,0.014321903718924214,0.8976560233679621,0.0016693896209182826,0.001663534644088307,0.04671911513215813,0.04305937090300722,0.9216649498005623,0.5,1.0,0.33409790049203236,0.45888276628693775,0.45782514272321295,0.04054301447178775,0.8372712361330311,0.01201485099873112,0.00763005634656557
reacher,2,0,0.9999996087333787,0.001420165150295194,1.067940354347229,0.9907066666666666,13.34259033203125,0.5572851889735846,0.0003168167939359099,0.9483951956572936,5.972921596576116e-05,5.976350042082356e-05,0.017227600543507717,0.017227600543507717,1.0,,,0.13987883000468196,0.17055500139688035,1.8299095888387424,0.03353139770774938,0.6991164842470574,0.997493856973814,1.9666023131351076
reacher,2,1,0.9999996087333787,0.001420165150295194,1.067940354347229,0.9892616666666667,13.356223106384277,0.5668705115032656,0.0003189502210086326,0.9483397822466089,5.986853246192832e-05,5.990127777070766e-05,0.01717156214837725,0.01717156214837725,1.0,,,0.12216938009725878,0.1714712816446168,1.8293994428458458,0.04585052187657298,0.6961225014063963,0.997493856973814,1.9666023131351076
reacher,2,2,0.9999996087333787,0.001420165150295194,1.067940354347229,0.9899783333333333,13.392497062683105,0.5545129149401209,0.000313186181001516,0.9488315762664362,6.607017717257984e-05,6.613263699850964e-05,0.017592536670337566,0.017592536670337566,1.0,,,0.15116624972857126,0.16731169799158174,1.8328661268663962,0.020991182071487115,0.6966828324191803,0.997493856973814,1.9666023131351076
reacher,3,0,0.9909121110475136,3.718535235142095e-05,1.069005012512207,0.9780016666666667,11.166182518005371,0.5117028498007871,0.00031418522829526645,0.9023082882477746,5.936765053492494e-05,5.939199034395944e-05,0.014773338022733366,0.010568520003997167,0.7153779320377167,-0.5,1.0,0.6479738963711014,0.4381672092328785,0.9929958268538783,0.012171712605958626,0.8664178858337384,0.7729442177889703,0.031207395441489594
reacher,3,1,0.9909121110475136,3.718535235142095e-05,1.069005012512207,0.978615,11.171634674072266,0.49439459683199233,0.00031313195241008685,0.9006378936083828,7.407673880981643e-05,7.409209260847386e-05,0.01485388532563415,0.010313932012074232,0.6943592054177854,-1.0,1.0,0.4794967369704327,0.4155364092759825,0.9523147078714788,0.009841613418242611,0.8607903378393129,0.7729442177889703,0.031207395441489594
reacher,3,2,0.9909121110475136,3.718535235142095e-05,1.069005012512207,0.9783333333333334,11.223816871643066,0.5142558648301013,0.00030911406563202703,0.902212913242846,6.535092828705549e-05,6.537884825761215e-05,0.01513229541776786,0.01099251600387238,0.7264275313423578,-0.5,1.0,0.6330812184378753,0.4313166291987287,1.0179086563248285,0.015267639673512346,0.8597463872251603,0.7729442177889703,0.031207395441489594
cube,2,0,0.9984020172694329,0.0037984586968901057,1.0146926641464233,0.9854716666666666,3.8911492824554443,0.5541534585769488,0.013193013517185926,0.9630611007447776,6.70085579562186e-05,7.322162086793491e-05,0.04413174928328556,0.04413174928328556,1.0,,,0.2715948147019157,0.5502341148667197,0.6984435092624602,0.00034321876086312446,0.8077924967971309,0.998033033717726,1.2898125307563424
cube,2,1,0.9984020172694329,0.0037984586968901057,1.0146926641464233,0.9853233333333333,3.8954920768737793,0.5584929708937523,0.012497609949328272,0.9626518940197207,6.377881157854582e-05,6.994061029848053e-05,0.043656229410170715,0.043656229410170715,1.0,,,0.3096420445090839,0.5505111757880327,0.6933701011793777,0.004094266006451977,0.8094705761535016,0.998033033717726,1.2898125307563424
cube,2,2,0.9984020172694329,0.0037984586968901057,1.0146926641464233,0.9853066666666667,3.8832437992095947,0.5648529604121706,0.012547567737455956,0.9622810504251381,6.311085304160442e-05,7.11707584547695e-05,0.04381196039717835,0.04381196039717835,1.0,,,0.3176321280004782,0.5534367958280613,0.6951912204725852,0.006929491214293245,0.8080568067862041,0.998033033717726,1.2898125307563424
cube,3,0,0.9929074086918455,0.0021573468321985922,1.042438268661499,0.9681,3.2282705307006836,0.5045365439662519,0.012790226956555226,0.9332721299316603,0.0001339930815832525,0.00014884404110062515,0.06584257936548919,0.06447752851950285,0.9792679621737022,0.5,-0.5,0.5258207518097203,0.5745248874351954,0.7445116120596362,0.022839893542197363,0.8472957322597143,0.9874072481695719,0.7047397245498582
cube,3,1,0.9929074086918455,0.0021573468321985922,1.042438268661499,0.9684533333333334,3.235460042953491,0.495055157851031,0.012577623641602594,0.933263604791555,0.00012759477561169428,0.00014180852752695354,0.06477612602880374,0.06315825883114104,0.9750237117152809,0.5,-0.5,0.4685877004082076,0.5693880989014407,0.7412306679293847,0.025946714936732132,0.8482273879478548,0.9874072481695719,0.7047397245498582
cube,3,2,0.9929074086918455,0.0021573468321985922,1.042438268661499,0.967895,3.228584051132202,0.48034788564254866,0.012396406827489678,0.9334783317579585,0.00012440977483524414,0.00013879597420498368,0.06428027578305973,0.0625152164239826,0.9725411980957572,0.5,-0.5,0.49736917039353057,0.5696238810731387,0.7397370900273155,0.0219007952185298,0.8505114351064914,0.9874072481695719,0.7047397245498582
