experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_success_rate_global_ft_45ep_trainseed0_long_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_long_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_long_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_short_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_short_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_short_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_short_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed0_short_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_long_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_long_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_long_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_long_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_long_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_short_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_short_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_short_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_short_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed42_short_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_long_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_long_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_long_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_long_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_long_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_short_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_short_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_short_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_short_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_45ep_trainseed625_short_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_exp6_b100_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_exp6_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed0_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed0_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed0_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed0_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed0_exp6_seed4,Task-success evaluation,3,1,0,0,1
