experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_success_rate_trainseed625_priority5_doorway80_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_trajectory_deviation_common_vs_train,Predictor trajectory deviation,3,1,1,0,1
tworoom_trajectory_deviation_common_vs_train_smoke,Predictor trajectory deviation,2,1,1,0,0
tworoom_trajectory_deviation_doorway_corridor_vs_train,Predictor trajectory deviation,2,1,1,0,0
tworoom_trajectory_deviation_left_room_vs_train,Predictor trajectory deviation,2,1,1,0,0
tworoom_trajectory_deviation_near_wall_vs_train,Predictor trajectory deviation,2,1,1,0,0
tworoom_trajectory_deviation_right_room_vs_train,Predictor trajectory deviation,2,1,1,0,0
tworoom_trajectory_predictors_smoke,Smoke/contract validation,1,1,0,0,0
tworoom_trajectory_switch_rollout_4way,Predictor trajectory deviation,4,1,2,0,1
unique_timestep_reencode_validation,Lossless cache validation,10,10,0,0,0
__root_orchestration__,Cross-run orchestration and aggregation,188,45,72,0,70
