task,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,affine_response_contrast_ratio,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
pusht,2,1,0.9840966350893694,0.0020113681524484006,1.0610673427581787,0.9644883333333333,2.689964771270752,0.5347639296920753,0.01320436460212664,0.9485546769911547,0.0009711924921749511,0.0009926853722704665,0.008617900068276044,0.034803201031470034,1.0,,,0.17404107809881483,0.46300577994391584,0.4622888255300541,0.054162383322279996,0.8278009933550634,0.6191014281096333,-0.0414217621008678
pusht,2,2,0.9840966350893694,0.0020113681524484006,1.0610673427581787,0.96277,2.6771321296691895,0.5356072253399864,0.014214089807178271,0.9475834053768907,0.0009285151725508783,0.0009530260488887876,0.008598276373940712,0.03435702790480373,1.0,,,0.14283001515650548,0.460949020452206,0.46078713142164807,0.031729168071382624,0.8279217696776996,0.6191014281096333,-0.0414217621008678
pusht,3,0,0.9543638570203704,0.0015064188798111777,1.0963327884674072,0.9368466666666667,2.251469612121582,0.5122174719158208,0.011829331815107683,0.9037086395782891,0.0018939629381605132,0.0019368961205799584,0.015877112745624075,0.04415755741472181,0.9013655488575908,-0.5,-1.0,0.3268621617254726,0.5329539953059216,0.5328958590325295,0.06559156650571707,0.8741509217492742,0.20631126705079927,-0.1287278359573476
pusht,3,1,0.9543638570203704,0.0015064188798111777,1.0963327884674072,0.9429216666666667,2.1476335525512695,0.48526474632899613,0.013644946444644692,0.9095176001692664,0.0018472236705612919,0.0018971224587701924,0.014419201594620868,0.03978626158880162,0.9028352916502383,0.5,0.5,0.3154178369935319,0.4595293025625914,0.4569227572519102,0.02213051507310766,0.837146730473557,0.20631126705079927,-0.1287278359573476
pusht,3,2,0.9543638570203704,0.0015064188798111777,1.0963327884674072,0.9453266666666666,2.148386240005493,0.4836419824141807,0.012951332992509995,0.9093538865704107,0.0016932722055198529,0.0017559695909179372,0.014780939894366261,0.040765588163132874,0.9028145322892546,1.0,1.0,0.31342510629996434,0.4762517947389388,0.4746098563114941,0.005248248581115682,0.8465322932637952,0.20631126705079927,-0.1287278359573476
pusht,4,0,0.9800069374018634,0.0014963831328270727,1.0538525581359863,0.9278333333333333,1.8090624809265137,0.46261330539324874,0.012248944659926812,0.8782961722611721,0.002836785071264854,0.002953484444129101,0.023260320356507554,0.05391391403736162,0.8587413562325019,0.2571428571428572,-0.028571428571428574,0.32628954055043446,0.5460041435535731,0.5437596468263497,0.031570925422499764,0.8752193965733509,-3.180176881247248,-0.3263305348947749
pusht,4,1,0.9800069374018634,0.0014963831328270727,1.0538525581359863,0.936285,1.955304741859436,0.47236801878724605,0.012672653183002033,0.8897470289811366,0.0032317975515770295,0.003383262694700723,0.021327302848569846,0.05076521639762687,0.8724825393080471,0.2,-0.028571428571428574,0.4006768087842714,0.43984071722056006,0.42147092289121757,0.022905712124532022,0.8100223396134472,-3.180176881247248,-0.3263305348947749
pusht,4,2,0.9800069374018634,0.0014963831328270727,1.0538525581359863,0.93619,2.030237913131714,0.48717512665029633,0.012567936072794461,0.8899002112958554,0.0032763672976901127,0.003393898014059999,0.021694802794818103,0.049449833349496854,0.8454582891511343,-0.5428571428571429,-0.14285714285714288,0.3863878139251616,0.4503242515776402,0.41980682933667124,0.00017631166819376577,0.8116252158822572,-3.180176881247248,-0.3263305348947749
reacher,2,0,0.9999722077643678,0.0010012679118991397,1.0513172149658203,0.989705,14.156434059143066,0.5400071215782548,0.0006756363395136167,0.9485092194062027,5.0522407948828223e-05,5.0532367741558975e-05,0.003930073397463432,0.01572088088515446,1.0,,,0.1283809985042161,0.25105713920682105,1.7495684800784097,0.04097408558144448,0.6998087375556908,0.9938426464960196,0.3009356531654765
reacher,2,1,0.9999722077643678,0.0010012679118991397,1.0513172149658203,0.9887283333333333,14.095646858215332,0.5385705395811522,0.0007102612806080029,0.9484298290389717,4.749700953855715e-05,4.7510256220675e-05,0.0038644098081089704,0.01545817973906177,1.0,,,0.1194573348059021,0.2545879297300278,1.745871132095318,0.03516882834659021,0.7030942996095797,0.9938426464960196,0.3009356531654765
reacher,2,2,0.9999722077643678,0.0010012679118991397,1.0513172149658203,0.9895566666666666,14.16699504852295,0.534922056101611,0.000676094115304302,0.9490404421990173,5.061921006003884e-05,5.0642088200973456e-05,0.0038962726730638214,0.01558522457646959,1.0,,,0.1255349815816409,0.25250697845120595,1.7476319458590082,0.019565031491482435,0.702165527214018,0.9938426464960196,0.3009356531654765
reacher,3,0,0.9916116769095485,5.409543317502763e-05,1.0849089622497559,0.9774,11.907626152038574,0.4996781406709016,0.0006857126387593571,0.9008829913864116,6.192897636720451e-05,6.196536954939454e-05,0.006087299673642935,0.00997907126323843,0.5621833065721386,-0.5,0.5,0.5137050648798451,0.38881285923240405,0.8082432496378669,0.024270058660835418,0.8539082635513953,0.653680961314664,-0.3043038709030343
reacher,3,1,0.9916116769095485,5.409543317502763e-05,1.0849089622497559,0.9771233333333333,11.811271667480469,0.4981656361542884,0.0006837043212597026,0.9017248489718148,6.383690998692323e-05,6.3868173892945e-05,0.0060384116405176776,0.010110209677728521,0.574218481107739,-1.0,1.0,0.5371514104465452,0.40702514542133295,0.8218483957636815,0.01571162938197857,0.8511740987572117,0.653680961314664,-0.3043038709030343
reacher,3,2,0.9916116769095485,5.409543317502763e-05,1.0849089622497559,0.97829,11.701340675354004,0.49689055834389234,0.0006798879715331161,0.8999521526511587,6.148720230938782e-05,6.152484873700261e-05,0.006125722781425187,0.010522852930565017,0.5878837668804044,-0.5,0.5,0.5046254517365687,0.39479328987985074,0.8451058849750337,0.04820013543888474,0.8551586649031475,0.653680961314664,-0.3043038709030343
reacher,4,0,0.9999488374737334,0.0005732243115544877,1.1095705032348633,0.970995,10.398688316345215,0.48055974945847646,0.0006994629250178443,0.8703661867368001,4.9313213459869586e-05,4.932377013561976e-05,0.006514226473767192,0.011645096559442134,0.6699114983959041,0.6,0.942857142857143,0.6897003519156292,0.4641056732683075,0.8470455827087355,0.025640411766224072,0.8880011622618057,0.9809641077793886,0.0500767439869136
reacher,4,1,0.9999488374737334,0.0005732243115544877,1.1095705032348633,0.971305,10.498528480529785,0.474363054407729,0.0006976762991736462,0.8721500723038446,4.8132976340733344e-05,4.814228981130595e-05,0.006521874371354115,0.01104129435192076,0.6335874822297916,0.7714285714285715,0.8857142857142858,0.5612543398140866,0.4829831943329165,0.8495028255050894,0.014835823307407117,0.8919639955438335,0.9809641077793886,0.0500767439869136
