task,train_seed,horizon,region,num_episodes,num_anchors,region_weight,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse,global_minus_correct,relative_gain,wrong_penalty,mean_trajectory_global_mse,mean_trajectory_correct_mse,mean_trajectory_wrong_mean_mse,mean_trajectory_wrong_best_mse,low_support,terminal_global_mse,terminal_correct_mse,terminal_wrong_mean_mse,terminal_wrong_best_mse,anchor_support
tworoom,42,10,1,397,7840,0.414705104469717,0.022522896494178612,0.0443032776406341,0.9380414762262134,0.6092132860682828,-0.02178038114645549,-0.9670328659586463,0.8937381985855792,0.022522896494178612,0.0443032776406341,0.9380414762262134,0.6092132860682828,False,0.05556411878474647,0.14258362192786359,1.0570442843682517,0.7087371353454106,horizon_valid
tworoom,42,10,2,389,7773,0.41116106850039674,0.020658529914876857,0.05489373511050614,0.8211242927124469,0.49214747640667383,-0.03423520519562928,-1.6571946472810455,0.7662305576019408,0.020658529914876857,0.05489373511050614,0.8211242927124469,0.49214747640667383,False,0.0583650138339824,0.19137927042675312,1.0442987327751627,0.7001790807260443,horizon_valid
tworoom,42,1,0,924,28025,0.3634135587945433,0.007157579240222541,0.006856645885790183,0.03835169578834597,0.00611002542048145,0.0003009333544323582,0.04204401297316293,0.031495049902555784,0.007157579240222541,0.006856645885790183,0.03835169578834597,0.00611002542048145,False,0.007157579240222541,0.006856645885790183,0.03835169578834597,0.00611002542048145,horizon_valid
tworoom,42,1,1,693,23320,0.3024015768452721,0.002081723077561811,0.0027692740719243527,0.23267437079591,0.09178022315823398,-0.0006875509943625418,-0.3302797580395882,0.22990509672398565,0.002081723077561811,0.0027692740719243527,0.23267437079591,0.09178022315823398,False,0.002081723077561811,0.0027692740719243527,0.23267437079591,0.09178022315823398,horizon_valid
tworoom,42,1,2,726,25771,0.33418486436018463,0.002376922545323518,0.003065233142877837,0.13090600087382884,0.04114371899360745,-0.0006883105975543187,-0.28958057506271584,0.127840767730951,0.002376922545323518,0.003065233142877837,0.13090600087382884,0.04114371899360745,False,0.002376922545323518,0.003065233142877837,0.13090600087382884,0.04114371899360745,horizon_valid
tworoom,42,5,0,564,11748,0.27862631628877715,0.02911017994779526,0.03229884764811569,0.13690731638631284,0.026314093452123734,-0.003188667700320433,-0.10953789038882034,0.10460846873819715,0.02911017994779526,0.03229884764811569,0.13690731638631284,0.026314093452123734,False,0.047715854655625105,0.06322052626114279,0.2622363507736106,0.040417037377822734,horizon_valid
tworoom,42,5,1,492,14866,0.3525756569585428,0.009294239144686044,0.015169284195198805,0.6469868437589088,0.35393246184668586,-0.005875045050512761,-0.63211683700562,0.63181755956371,0.009294239144686044,0.015169284195198805,0.6469868437589088,0.35393246184668586,False,0.019748168132803723,0.03356789669282919,0.8479938586844558,0.49116291391759115,horizon_valid
tworoom,42,5,2,506,15550,0.36879802675268003,0.009956984972931123,0.018516109420661092,0.47792600618125064,0.20444495201167176,-0.008559124447729969,-0.8596100597719739,0.4594098967605895,0.009956984972931123,0.018516109420661092,0.47792600618125064,0.20444495201167176,False,0.019875953223562268,0.04168549593469334,0.7324424529431571,0.3636176615183462,horizon_valid
tworoom,625,10,0,266,3292,0.17413382702988628,0.043457546427584565,0.08270079183943455,0.26293455160105084,0.05735715239234174,-0.03924324541184998,-0.9030248745690905,0.1802337597616163,0.043457546427584565,0.08270079183943455,0.26293455160105084,0.05735715239234174,False,0.06190301218063247,0.23371499142635518,0.5524407025285735,0.08483908348887864,horizon_valid
tworoom,625,10,1,397,7840,0.414705104469717,0.01653068278710416,0.04361539548097148,0.9238478437688226,0.5855231662930603,-0.027084712693867318,-1.6384509365212983,0.8802324482878511,0.01653068278710416,0.04361539548097148,0.9238478437688226,0.5855231662930603,False,0.0428920748127476,0.13806559923465214,1.0452966627094147,0.6894214156457695,horizon_valid
tworoom,625,10,2,389,7773,0.41116106850039674,0.022144761790836565,0.05499991881479358,0.8121650024084512,0.4712655475732595,-0.03285515702395701,-1.4836536664644717,0.7571650835936576,0.022144761790836565,0.05499991881479358,0.8121650024084512,0.4712655475732595,False,0.06319982328956253,0.1931351513588334,1.0330847841261737,0.6816643110345866,horizon_valid
tworoom,625,1,0,924,28025,0.3634135587945433,0.006495122024701051,0.007236951253388766,0.036020810806100124,0.005889608632837625,-0.0007418292286877149,-0.11421328588847549,0.028783859552711358,0.006495122024701051,0.007236951253388766,0.036020810806100124,0.005889608632837625,False,0.006495122024701051,0.007236951253388766,0.036020810806100124,0.005889608632837625,horizon_valid
tworoom,625,1,1,693,23320,0.3024015768452721,0.0016803124840699415,0.002602639747545326,0.22150979951879898,0.08105038344372426,-0.0009223272634753844,-0.548902226353389,0.21890715977125366,0.0016803124840699415,0.002602639747545326,0.22150979951879898,0.08105038344372426,False,0.0016803124840699415,0.002602639747545326,0.22150979951879898,0.08105038344372426,horizon_valid
tworoom,625,1,2,726,25771,0.33418486436018463,0.002440817678926605,0.0029198795461034,0.12927192968990198,0.03927494127094944,-0.000479061867176795,-0.1962710575693107,0.12635205014379858,0.002440817678926605,0.0029198795461034,0.12927192968990198,0.03927494127094944,False,0.002440817678926605,0.0029198795461034,0.12927192968990198,0.03927494127094944,horizon_valid
tworoom,625,5,0,564,11748,0.27862631628877715,0.029261354247467806,0.03378624976643241,0.12974009087350707,0.02697928208293743,-0.0045248955189646015,-0.15463725570241416,0.09595384110707467,0.029261354247467806,0.03378624976643241,0.12974009087350707,0.02697928208293743,False,0.047662076674254275,0.06550334932453422,0.2506775949963473,0.0411343669336141,horizon_valid
tworoom,625,5,1,492,14866,0.3525756569585428,0.00745297953717705,0.014065945725109195,0.6308936057017002,0.3307879470367721,-0.006612966187932145,-0.8872916066581508,0.616827659976591,0.00745297953717705,0.014065945725109195,0.6308936057017002,0.3307879470367721,False,0.015952863412149687,0.03099827896034356,0.8348736673196024,0.4710960546422467,horizon_valid
tworoom,625,5,2,506,15550,0.36879802675268003,0.010140039612784951,0.017527928766281956,0.4731292238021022,0.1926846817497164,-0.007387889153497005,-0.7285858276314888,0.45560129503582025,0.010140039612784951,0.017527928766281956,0.4731292238021022,0.1926846817497164,False,0.020198676626204684,0.039458108633603446,0.723747513326131,0.343213241801263,horizon_valid
