task,model,num_clusters,partition_seed,region_left,region_right,q_ij,pair_weight,intercept_contribution,orientation_contribution
reacher,subjepa,4,2,1,3,0.33213903604822154,0.16784336477667,0.0007614852701284426,0.05634773598873923
reacher,subjepa,4,2,2,3,0.3516043791918735,0.17218582340669727,0.0005821407175501717,0.013492791360179376
tworoom,subjepa,2,0,0,1,0.2536222873172855,1.0,0.005770996241837001,0.013915491743434705
tworoom,subjepa,2,1,0,1,0.25263720891479463,1.0,0.006313830973423112,0.013399860070745983
tworoom,subjepa,2,2,0,1,0.2524555814657022,1.0,0.006196282386389452,0.01341078823089218
tworoom,subjepa,3,0,0,1,0.3397359318948858,0.17741757051258597,0.0008107147560757969,0.0019678964784497184
tworoom,subjepa,3,0,0,2,0.30842444559058785,0.4449358743307253,0.006687708642720024,0.03836056622327198
tworoom,subjepa,3,0,1,2,0.27659457728612596,0.3776465551566887,0.004152281297944326,0.13988089915529292
tworoom,subjepa,3,1,0,1,0.33856054110304923,0.17824388784303066,0.0006919798119936938,0.0017587091470015342
tworoom,subjepa,3,1,0,2,0.2773113269666404,0.3771217190022042,0.004270352282897884,0.1391080207593896
tworoom,subjepa,3,1,1,2,0.30692248278778683,0.4446343931547652,0.006578800549167294,0.04058174228559701
tworoom,subjepa,3,2,0,1,0.3073931457461547,0.44195558131885126,0.006322016714442924,0.03991680298670826
tworoom,subjepa,3,2,0,2,0.33712991094322015,0.17795322309436867,0.0008302723658517021,0.0013868809529063288
tworoom,subjepa,3,2,1,2,0.28915084408860126,0.3800911955867801,0.003925332738041279,0.1303600385752018
tworoom,subjepa,4,0,0,1,0.3394560483642419,0.2850515942574754,0.0032282439699720055,0.027129235130047974
tworoom,subjepa,4,0,0,2,0.310176296927142,0.18980105764610017,0.002621342493838495,0.03265607232826504
tworoom,subjepa,4,0,0,3,0.26676621422856417,0.22895996865527166,0.0021975664233830367,0.06929432665291012
tworoom,subjepa,4,0,1,2,0.28858670302169503,0.10451446101748915,0.0006584330242115936,0.00023482083591358526
tworoom,subjepa,4,0,1,3,0.4159969596397416,0.1042814748516463,0.0003634499229252714,0.004074786163384201
tworoom,subjepa,4,0,2,3,0.2907640694721082,0.08739144357201725,0.0007682807138753799,0.028136285860057956
tworoom,subjepa,4,1,0,1,0.4249873656548598,0.10768640936705354,0.000450501185915179,0.002644372912978225
tworoom,subjepa,4,1,0,2,0.29238684153636163,0.10357329008090786,0.000702098883788061,9.302920387166272e-05
tworoom,subjepa,4,1,0,3,0.33831521156599986,0.2796174264161558,0.0027692470220947755,0.026141544203037635
tworoom,subjepa,4,1,1,2,0.27856848133356843,0.09016231830005238,0.0009062900326934444,0.030560214889025484
tworoom,subjepa,4,1,1,3,0.2693911131550354,0.2344404119410024,0.0019274281871175135,0.06873803666422659
tworoom,subjepa,4,1,2,3,0.30197786778028674,0.18452014389482807,0.0024438259091512458,0.032263372224238036
tworoom,subjepa,4,2,0,1,0.4248095221246292,0.10669689163323419,0.00044876102741624467,0.0029234228259524663
tworoom,subjepa,4,2,0,2,0.29154648638051905,0.11302638774420978,0.0010333485409430088,0.0003053947883560074
tworoom,subjepa,4,2,0,3,0.3392474879073913,0.2640964891810919,0.0025648630353525214,0.025112304128821088
tworoom,subjepa,4,2,1,2,0.29571338939688946,0.09936906120302204,0.0009341654238509685,0.03002471691748764
tworoom,subjepa,4,2,1,3,0.27284355007601735,0.22422043168763217,0.0020951160045885897,0.06726588744770101
tworoom,subjepa,4,2,2,3,0.3423974223067175,0.19259073855080983,0.002649757149296928,0.020148725107279816
