preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine
raw_l2,2,8,0.029402227416359693,0.026391654804579178,0.43084433393461524,0.5880400637785593
raw_l2,2,9,0.1840231376702581,0.16831631395800553,0.6025878206882754,0.7684733072916666
raw_l2,2,10,0.39597652226816554,0.34486391344647244,0.748317894567907,0.8707934220631918
raw_l2,2,11,0.3063185592605969,0.2683003420050221,0.6829639351758722,0.8188456098238627
raw_l2,2,12,0.24827815113770513,0.2299886473893776,0.6380403705303702,0.7836383978525797
raw_l2,2,13,0.17343600405122442,0.17749786868529274,0.4985605508489947,0.6455880999565125
raw_l2,2,14,0.11014611706825829,0.09601869628244684,0.491097839672076,0.6348718603452047
raw_l2,2,15,0.28915833457883106,0.2496948078244972,0.6845941017210734,0.8215039968490601
raw_l2,2,16,0.22249481748784214,0.2009572228368069,0.6110651264176018,0.7677997748057047
raw_l2,2,17,0.18406579559900038,0.17112212332099525,0.601940370860141,0.7675429582595825
raw_l2,2,18,0.3384371619547482,0.3007035989749638,0.685410833847226,0.8025279442469279
raw_l2,2,19,0.21668787133549203,0.1927136000403542,0.6049808568102598,0.74317467212677
raw_l2,3,4,0.1318577793591591,0.12752160519755695,0.5184688086373545,0.6645165284474691
raw_l2,3,5,0.11356723988131615,0.1248790066977326,0.4786226136966967,0.6421189407507578
raw_l2,3,6,0.18516907578732061,0.16140163253713957,0.5881625505785827,0.7343026002248129
raw_l2,3,7,0.07732345489075065,0.07741498988663881,0.49162437357305466,0.653232196966807
raw_l2,3,8,0.08622976219719375,0.09203996527459629,0.4488443185453154,0.6120955348014832
raw_l2,3,9,0.13138420544791204,0.14255078104327093,0.4716963295420694,0.6294990579287211
raw_l2,3,10,0.2118442509285504,0.2202336450515783,0.5357696793419535,0.6711498697598776
raw_l2,3,11,0.26113700033858955,0.22802580215331258,0.6476202096682177,0.7634192903836569
raw_l2,3,12,0.14690919919575118,0.15044800719183693,0.5289753034714962,0.679081122080485
raw_l2,3,13,0.23214662292297894,0.23861602897378867,0.5725204265474215,0.7177331646283468
raw_l2,3,14,0.09802374258274446,0.08768634002621895,0.5289049523866056,0.6759523749351501
raw_l2,3,15,0.1721381778314525,0.1807729396354299,0.5194921970753735,0.6590603391329447
raw_l2,3,16,0.19714752333510063,0.2038887715532799,0.5706923975759655,0.7117947737375895
raw_l2,3,17,0.1571124107977971,0.17492315323451618,0.5158130551827315,0.6763328115145365
raw_l2,3,18,0.20419389730986146,0.17611490587783735,0.6027647976362035,0.7118278741836548
