preprocess,seed,converged,niter,objective_final,objective_still_changing,final_rel_obj_change,fit_sec,mean_label_change_frac,final_label_change_frac,max_label_change_frac,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
center_l2,4,1,101,0.1570252925157547,0,0.0,0.4445658908225596,0.008876525707946711,2.4183183995774016e-05,0.20684537291526794,0.3174493774478605,0.32807458973775533,0.35447603281438417,0.19421857595443726,0.19763518869876862,0.04634207859635353,0.11206179857254028,0.021374638214049772
center_l2,5,1,194,0.1578628122806549,0,0.0,0.8539609089493752,0.004778024237043492,3.2977070077322423e-05,0.17761889100074768,0.30618221150833824,0.3404805638639454,0.35333722462771633,0.19634903967380524,0.1973119080066681,0.04799256473779678,0.1160276010632515,0.02058648621613392
center_l2,6,1,138,0.15523986518383026,0,0.0,0.6051371050998569,0.007295675104521988,1.9786240954999812e-05,0.18079787492752075,0.3086214155297821,0.344482881052804,0.3468957034174139,0.19363392889499664,0.1943187117576599,0.04603158310055733,0.10980966687202454,0.021924256064758174
center_l2,7,1,183,0.15585650503635406,0,0.0,0.803040349856019,0.005415330010415735,0.0,0.17022542655467987,0.3138636705898389,0.32776570450565723,0.3583706249045039,0.19035230576992035,0.19419021904468536,0.043912336230278015,0.10614452511072159,0.022478270858272243
center_l2,8,1,189,0.1561240404844284,0,0.0,0.8290265123359859,0.004834777471203663,6.595413651666604e-06,0.17946010828018188,0.3268159648596331,0.33479861452332194,0.33838542061704496,0.1949763298034668,0.19441603124141693,0.043653227388858795,0.10678694397211075,0.02308504896545432
center_l2,9,1,181,0.15881676971912384,0,0.0,0.7974339383654296,0.0065256002605817934,1.429006351827411e-05,0.19910785555839539,0.30800144659418305,0.3336499132153414,0.3583486401904756,0.20007014274597168,0.20159253478050232,0.049293726682662964,0.11865179240703583,0.02032926506200239
center_l2,10,1,51,0.15841026604175568,0,9.406689962647916e-08,0.2243829369544983,0.012821066912129026,8.793885172053706e-06,0.1912032514810562,0.3206085808537324,0.3263037210227729,0.3530876981234947,0.1981208324432373,0.199136883020401,0.0479896143078804,0.11632773280143738,0.020688715136365686
center_l2,11,1,127,0.15778686106204987,0,9.443855147883216e-08,0.5573421549052,0.006452748756355649,3.297706825833302e-06,0.19604207575321198,0.3283153223563656,0.33351140951696284,0.33817326812667153,0.20099352300167084,0.20696036517620087,0.04959532618522644,0.11964225023984909,0.02019405907072812
center_l2,12,1,96,0.15196391940116882,0,9.805724091438377e-08,0.4214277728460729,0.007419562937981314,1.6488535038661212e-05,0.1741541028022766,0.31280840431647877,0.34277466877280227,0.34441692691071896,0.1899871528148651,0.19362294673919678,0.04560381919145584,0.1088738963007927,0.021811034787512243
center_l2,13,1,213,0.1554974466562271,0,0.0,0.9343787557445467,0.005046471602678859,1.9786240954999812e-05,0.1710718423128128,0.3142901740419886,0.3346996833101944,0.351010142647817,0.19206532835960388,0.19091342389583588,0.04445986822247505,0.10569766163825989,0.02243540066591699
center_l2,14,1,290,0.15730081498622894,0,0.0,1.272031466010958,0.003688810448216626,2.1984712930134265e-06,0.16100504994392395,0.3220958467577493,0.3282097957290296,0.34969435751322103,0.19796371459960938,0.19827648997306824,0.046860333532094955,0.11403548717498779,0.021535126626456624
center_l2,15,1,84,0.155872642993927,0,0.0,0.36924725910648704,0.010905582961443663,2.4183183995774016e-05,0.19446247816085815,0.30816413347799276,0.3423525622634582,0.349483304258549,0.19661901891231537,0.1999528408050537,0.05155324190855026,0.12204378843307495,0.01931796821669893
center_l2,16,1,126,0.15579910576343536,0,0.0,0.5527692176401615,0.0057436909490779725,1.0992356465067132e-06,0.20196256041526794,0.30899625490396526,0.34260318800338124,0.3484005570926535,0.19167594611644745,0.19229526817798615,0.042332056909799576,0.1037430688738823,0.023626972166252803
center_l2,17,1,172,0.15693584084510803,0,0.0,0.7562573947943747,0.005401026893786478,1.2091591997887008e-05,0.1840670108795166,0.32017218428026994,0.3278448494761592,0.35198296624357084,0.19322466850280762,0.1939145028591156,0.04493623971939087,0.11023959517478943,0.022539828057551583
center_l2,18,1,155,0.15868259966373444,0,0.0,0.6825435380451381,0.00669969849577801,1.429006351827411e-05,0.1869799792766571,0.32827684910681604,0.3294739167856589,0.34224923410752506,0.20071151852607727,0.20543082058429718,0.04977153614163399,0.11715847253799438,0.020200654484936624
center_l2,19,1,122,0.1559235155582428,0,9.556712831005112e-08,0.5372614641673863,0.008286056524584712,6.595413651666604e-06,0.18810340762138367,0.3315360829615169,0.3328221887321745,0.3356417283063086,0.1907367706298828,0.19041992723941803,0.04365645349025726,0.10835066437721252,0.023213659542520085
zscore_l2,0,1,281,0.155512735247612,0,9.581954649758477e-08,1.231859577819705,0.003970180050228172,2.1984712930134265e-06,0.20148439705371857,0.3155938675838689,0.32511105028673565,0.3592950821293954,0.1901155561208725,0.18514856696128845,0.04209870845079422,0.10200050473213196,0.02329390374872351
zscore_l2,1,1,228,0.15706387162208557,0,9.487326686702003e-08,0.9995421580970287,0.005301037281170197,2.6381654606666416e-05,0.16551411151885986,0.3191367042495353,0.323421525013658,0.3574417707368067,0.19183842837810516,0.18843846023082733,0.042996909469366074,0.10393229126930237,0.023187277885686083
zscore_l2,2,1,86,0.15531449019908905,0,9.594185156260494e-08,0.3784369039349258,0.009047110291409326,1.9786240954999812e-05,0.180882528424263,0.3171218052088383,0.3263344996224125,0.3565436951687492,0.19498775899410248,0.1949513852596283,0.04475807026028633,0.10914406180381775,0.022141904733638702
zscore_l2,3,1,105,0.15465673804283142,0,9.634990895415353e-08,0.46190600376576185,0.007761174471406425,1.3190827303333208e-05,0.17340992391109467,0.3150607382686818,0.33062151885793806,0.35431774287338014,0.19231963157653809,0.19779498875141144,0.04843302071094513,0.11389358341693878,0.020637051058399095
zscore_l2,4,1,88,0.15615125000476837,0,0.0,0.38607666408643126,0.010284714034028915,0.0,0.20030272006988525,0.3109737799308141,0.34045747991421565,0.34856874015497025,0.1968030333518982,0.19812868535518646,0.04388982802629471,0.10742200165987015,0.02221885123273788
zscore_l2,5,1,73,0.15760557353496552,0,0.0,0.32090545864775777,0.010337929662682654,2.0885478079435416e-05,0.17547978460788727,0.3226938309793201,0.33845577170193564,0.3388503973187443,0.19404122233390808,0.19375072419643402,0.042556844651699066,0.10390562564134598,0.02314001075052516
zscore_l2,6,1,141,0.15400923788547516,0,0.0,0.618614754639566,0.006728868894710364,0.0,0.17945131659507751,0.30720999688916295,0.32962561131245444,0.36316439179838256,0.19221989810466766,0.19129592180252075,0.044815972447395325,0.10628730803728104,0.022247431360974713
zscore_l2,7,1,140,0.15509554743766785,0,0.0,0.6141272732056677,0.006909605444360809,0.0,0.1591649204492569,0.32324015112292426,0.32435807383126514,0.35240177504581066,0.19096124172210693,0.1949637085199356,0.047870125621557236,0.11427821964025497,0.020379829904267562
