task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
pusht,4,0,0,2,490852,663706,0.06574656964536561,0.013464781973918814,0.052281787671446804
pusht,4,0,0,3,490852,383501,0.061477121258860165,0.008374107650524654,0.05310301360833551
pusht,4,0,1,2,743174,663706,0.0585587176626345,0.010691078601815049,0.04786763906081945
pusht,4,0,1,3,743174,383501,0.05297871542658486,0.006610774948311502,0.04636794047827336
pusht,4,0,2,3,663706,383501,0.06717848023151317,0.012432775837505948,0.05474570439400722
pusht,4,1,0,1,474361,716579,0.05861259668587414,0.005754588451314934,0.0528580082345592
pusht,4,1,0,2,474361,708922,0.06225664069102362,0.011247322415182788,0.051009318275840834
pusht,4,1,0,3,474361,381371,0.058726644801984175,0.006741211141103966,0.05198543366088021
pusht,4,1,1,2,716579,708922,0.05919703402884152,0.010243251061197145,0.048953782967644376
pusht,4,1,1,3,716579,381371,0.05242887261416346,0.006467665688925425,0.045961206925238036
pusht,4,1,2,3,708922,381371,0.06561291491079371,0.011903513841053174,0.053709401069740544
pusht,4,2,0,1,629183,498048,0.07238735663262648,0.00727407942210507,0.0651132772105214
pusht,4,2,0,2,629183,784372,0.057926674259275945,0.007682490635325378,0.05024418362395057
pusht,4,2,0,3,629183,369630,0.06282305639272555,0.008364761248628684,0.05445829514409686
pusht,4,2,1,2,498048,784372,0.05976781302132365,0.008732156335415417,0.05103565668590823
pusht,4,2,1,3,498048,369630,0.0633104562916948,0.009331301247857544,0.053979155043837254
pusht,4,2,2,3,784372,369630,0.05629824399481184,0.007726236213847906,0.04857200778096394
reacher,2,0,0,1,990829,989323,0.017227600543507745,0.00023905417572692145,0.016988546367780823
reacher,2,1,0,1,996032,984120,0.017171562148377263,0.00023961373987439603,0.016931948408502866
reacher,2,2,0,1,986769,993383,0.017592536670337583,0.00026453367237476796,0.017328002997962815
reacher,3,0,0,1,621528,789885,0.016272812169306997,0.00019187191003750537,0.01608094025926949
reacher,3,0,0,2,621528,568739,0.010568520003997174,0.00012937746380468814,0.010439142540192486
reacher,3,0,1,2,789885,568739,0.01747868189489596,0.00020687511046051782,0.01727180678443544
reacher,3,1,0,1,604328,575264,0.010313932012074239,0.00013300229832103003,0.01018092971375321
reacher,3,1,0,2,604328,800560,0.017034093959108206,0.0002698892068235282,0.016764204752284677
reacher,3,1,1,2,575264,800560,0.017213630005720033,0.0002469915359026158,0.016966638469817417
reacher,3,2,0,1,623440,783545,0.016224864224377307,0.0001955209832604815,0.016029343241116826
reacher,3,2,0,2,623440,573167,0.010992516003872386,0.00014453226730138852,0.010847983736570997
reacher,3,2,1,2,783545,573167,0.018179506025053915,0.00024312512076747782,0.01793638090428644
reacher,4,0,0,1,495384,471429,0.01993690841425849,0.00018520747017261466,0.019751700944085872
reacher,4,0,0,2,495384,503643,0.014256541364405947,0.0001330675697572131,0.014123473794648735
reacher,4,0,0,3,495384,509696,0.011277964326476196,0.00013405255054227896,0.011143911775933917
reacher,4,0,1,2,471429,503643,0.011414130553944723,0.00011320862630571906,0.011300921927639004
reacher,4,0,1,3,471429,509696,0.015746732349062664,0.00014597134568213228,0.01560076100338053
reacher,4,0,2,3,503643,509696,0.020073377481558526,0.00023139754541095085,0.019841979936147575
reacher,4,1,0,1,496420,504173,0.021385582837399025,0.00025867979675946905,0.021126903040639557
reacher,4,1,0,2,496420,505767,0.01179619030232402,0.00013962782493745612,0.011656562477386563
reacher,4,1,0,3,496420,473792,0.01675909427040779,0.00016791036007857295,0.016591183910329217
reacher,4,1,1,2,504173,505767,0.012912924443763787,0.00011750361924435212,0.012795420824519435
reacher,4,1,1,3,504173,473792,0.011894676296315172,0.000126308133548959,0.011768368162766213
reacher,4,1,2,3,505767,473792,0.018989761545171274,0.00018750900032132363,0.01880225254484995
reacher,4,2,0,1,497691,479634,0.01108263324641184,0.00010737357781121477,0.010975259668600626
reacher,4,2,0,2,497691,501563,0.014688758759117704,0.00013966520293884888,0.014549093556178855
reacher,4,2,0,3,497691,501264,0.021002612047800188,0.000246627069972879,0.02075598497782731
reacher,4,2,1,2,479634,501563,0.01864899766165809,0.00017314489787515088,0.01847585276378294
reacher,4,2,1,3,479634,501264,0.015796083638694926,0.0001504512259834486,0.015645632412711476
reacher,4,2,2,3,501563,501264,0.011207906616769563,0.00013897065104065393,0.011068935965728909
cube,2,0,0,1,1036640,943512,0.0441317492832856,0.0003853257134890198,0.043746423569796584
cube,2,1,0,1,936636,1043516,0.04365622941017072,0.0003720212020551218,0.0432842082081156
cube,2,2,0,1,931277,1048875,0.043811960397178364,0.00037850996004052225,0.04343345043713784
