task,partition_seed,region_left,region_right,left_transition_fraction,right_transition_fraction,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,latent_centroid_distance,symmetric_boundary_distance
pusht,2,0,2,0.27580830191392114,0.3438368636610114,0.05792667425933283,0.0076824906348134875,0.05024418362451934,0.2432715892791748,0.49082669615745544
pusht,2,0,3,0.27580830191392114,0.16203079650346983,0.0628230563955652,0.008364761248867763,0.05445829514669744,0.27756616473197937,0.5328307151794434
pusht,2,1,2,0.21832403792159766,0.3438368636610114,0.0597678130206827,0.008732156334745729,0.051035656685936966,0.25216829776763916,0.5419447422027588
pusht,2,1,3,0.21832403792159766,0.16203079650346983,0.0633104562902885,0.009331301247659218,0.0539791550426293,0.29614442586898804,0.5657954216003418
pusht,2,2,3,0.3438368636610114,0.16203079650346983,0.056298243994989415,0.007726236213564894,0.04857200778142452,0.27238819003105164,0.7041066884994507
reacher,0,0,1,0.2501747340608196,0.2380771779136147,0.01993690841480017,0.00018520747032846268,0.0197517009444717,0.32137438654899597,0.7525487542152405
reacher,0,0,2,0.2501747340608196,0.25434562599234806,0.014256541364464336,0.00013306756983001865,0.014123473794634318,0.3194138705730438,0.738564521074295
reacher,0,0,3,0.2501747340608196,0.25740246203321765,0.011277964327642559,0.00013405255058848793,0.011143911777054073,0.3219955265522003,0.7218300998210907
reacher,0,1,2,0.2380771779136147,0.25434562599234806,0.011414130555082277,0.00011320862631801223,0.011300921928764265,0.3322853147983551,0.7179805934429169
reacher,0,1,3,0.2380771779136147,0.25740246203321765,0.015746732350355893,0.0001459713456734078,0.015600761004682486,0.32111620903015137,0.7597744166851044
reacher,0,2,3,0.25434562599234806,0.25740246203321765,0.02007337748399475,0.0002313975454168735,0.019841979938577874,0.3256243169307709,0.7505390346050262
reacher,1,0,1,0.25069792621980536,0.25461328221267865,0.021385582840112657,0.0002586797967136488,0.021126903043399006,0.32827821373939514,0.7660300135612488
reacher,1,0,2,0.25069792621980536,0.2554182709206162,0.011796190303234378,0.00013962782495256744,0.01165656247828181,0.3231970965862274,0.7200691998004913
reacher,1,0,3,0.25069792621980536,0.23927052064689983,0.016759094272270826,0.00016791036008463063,0.016591183912186197,0.32202908396720886,0.7680675387382507
reacher,1,1,2,0.25461328221267865,0.2554182709206162,0.012912924443868464,0.00011750361928552557,0.012795420824582938,0.32081857323646545,0.7484293580055237
reacher,1,1,3,0.25461328221267865,0.23927052064689983,0.011894676297636683,0.0001263081335385117,0.01176836816409817,0.3300274908542633,0.7113371789455414
reacher,1,2,3,0.2554182709206162,0.23927052064689983,0.018989761545081,0.0001875090004247188,0.01880225254465628,0.3196800649166107,0.7473671734333038
reacher,2,0,1,0.25133979613686225,0.24222079921137368,0.011082633246788393,0.0001073735778448814,0.010975259668943515,0.33371078968048096,0.7217896282672882
reacher,2,0,2,0.25133979613686225,0.25329520158048474,0.014688758759188618,0.000139665202949415,0.0145490935562392,0.3214355409145355,0.7516224086284637
reacher,2,0,3,0.25133979613686225,0.2531442030712794,0.021002612050030872,0.0002466270699106932,0.02075598498012018,0.32961171865463257,0.7636918425559998
reacher,2,1,2,0.24222079921137368,0.25329520158048474,0.01864899766228259,0.0001731448979660775,0.018475852764316514,0.3215436041355133,0.7424032688140869
reacher,2,1,3,0.24222079921137368,0.2531442030712794,0.01579608364016493,0.00015045122600418012,0.01564563241416075,0.3228912949562073,0.7629534006118774
reacher,2,2,3,0.25329520158048474,0.2531442030712794,0.011207906618397752,0.0001389706510241349,0.011068935967373619,0.32184624671936035,0.7159160375595093
cube,0,0,1,0.27474001995806385,0.33647113958928404,0.07132742289622375,0.0007234090352528773,0.07060401386097089,0.22952601313591003,0.6560886800289154
cube,0,0,2,0.27474001995806385,0.2064063768841988,0.08716719151995742,0.000802937670094736,0.08636425384986268,0.2648911476135254,0.8646643161773682
cube,0,0,3,0.27474001995806385,0.18238246356845333,0.0868499737588909,0.0010444737524174543,0.08580550000647345,0.2654415965080261,0.8513839840888977
cube,0,1,2,0.33647113958928404,0.2064063768841988,0.08810079202117582,0.0006026099829343533,0.08749818203824147,0.25254663825035095,0.7059126794338226
cube,0,1,3,0.33647113958928404,0.18238246356845333,0.08753442574801097,0.000890351445555587,0.08664407430245538,0.25287848711013794,0.7155709862709045
cube,0,2,3,0.2064063768841988,0.18238246356845333,0.0944711250073073,0.0010320812834486697,0.09343904372385863,0.2910138964653015,0.6001431047916412
cube,1,0,1,0.2837070083508741,0.23155747639575144,0.07968464666964971,0.0008081306775162746,0.07887651599213343,0.2463979423046112,0.7196344137191772
cube,1,0,2,0.2837070083508741,0.24007045923747267,0.07375331434293017,0.0008047389943530355,0.07294857534857714,0.24585124850273132,0.8566130995750427
cube,1,0,3,0.2837070083508741,0.2446650560159018,0.08787298382507383,0.0006864624498108265,0.08718652137526299,0.24540911614894867,0.7133607566356659
cube,1,1,2,0.23155747639575144,0.24007045923747267,0.08373837892858443,0.0010347391082147917,0.08270363982036964,0.25574374198913574,0.7108439803123474
cube,1,1,3,0.23155747639575144,0.2446650560159018,0.09012051236176599,0.0007296734533215837,0.0893908389084444,0.2571609914302826,0.6132882535457611
cube,1,2,3,0.24007045923747267,0.2446650560159018,0.09127856215533342,0.0007996146255627319,0.09047894752977069,0.2575249671936035,0.7092848122119904
cube,2,0,1,0.23049341666700335,0.2355950452288511,0.08432046567855443,0.000968253912563161,0.08335221176599127,0.2567463517189026,0.6991935968399048
cube,2,0,2,0.23049341666700335,0.252808370266525,0.08819189864162875,0.0007254062929005103,0.08746649234872825,0.2547593116760254,0.6106874644756317
cube,2,0,3,0.23049341666700335,0.28110316783762057,0.08083859865825133,0.0008046362029450631,0.08003396245530627,0.24668316543102264,0.7362466752529144
cube,2,1,2,0.2355950452288511,0.252808370266525,0.08788133926651162,0.0007994541220988688,0.08708188514441276,0.2564481496810913,0.7226605713367462
cube,2,1,3,0.2355950452288511,0.28110316783762057,0.07395375467529032,0.0007822204765739816,0.07317153419871633,0.24741695821285248,0.8563107252120972
cube,2,2,3,0.252808370266525,0.28110316783762057,0.0853830041241274,0.0006842218764877471,0.08469878224763965,0.24413296580314636,0.6971120834350586
