task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
pusht,3,0,0,1,613681,694970,0.04950194952716172,0.004421380307429518,0.0450805692197322,0.6188269729891948,0.09494298694317525,0.9139526934988983,0.6201653828501141
pusht,3,0,0,2,613681,972582,0.04786374039089509,0.006866420321357778,0.04099732006953731,0.5156645511952571,0.0002561081385028802,0.8688889277490905,0.515518719774566
pusht,3,0,1,2,694970,972582,0.042462172690136066,0.005439354019086092,0.03702281867104997,0.5075663954576424,0.0946868788046724,0.866041022436391,0.5093231995773957
pusht,3,1,0,1,923963,738998,0.04479276203808128,0.00627384677409052,0.03851891526399076,0.5150703784349983,0.10688124424777336,0.8685465742266095,0.517181000694376
pusht,3,1,0,2,923963,618272,0.04727706324341849,0.006814637468426185,0.0404624257749923,0.5071189811398464,0.03207410172075549,0.8657434682163347,0.5072767538644904
pusht,3,1,1,2,738998,618272,0.048664977359342276,0.004162919372864927,0.04450205798647735,0.6184934145381988,0.07480714252701774,0.9125380807431728,0.6194695076935258
pusht,3,2,0,1,741757,922523,0.0445140261186905,0.004661971634328956,0.03985205448436154,0.5121038297193451,0.11140428276737287,0.8484289869834424,0.5141873186841589
pusht,3,2,0,2,741757,616953,0.0430593709030072,0.006200697762187556,0.03685867314081965,0.45782514272321295,0.07086126829558508,0.8372712361330314,0.4588827662869377
pusht,3,2,1,2,922523,616953,0.05258394837477666,0.005330836086883157,0.0472531122878935,0.6588814323264893,0.04054301447178775,0.9270494438424773,0.6583358064758913
pusht,4,0,0,1,490852,743174,0.0588781697166586,0.006665535409660491,0.05221263430699811,0.6711178434590183,0.0824804658406889,0.9341441257219859,0.6715873960693319
pusht,4,0,0,2,490852,663706,0.06574656964536561,0.013464781973918814,0.052281787671446804,0.5252798854912104,0.14818975604918283,0.8797477325085146,0.5300068981329799
pusht,4,0,0,3,490852,383501,0.061477121258860165,0.008374107650524654,0.05310301360833551,0.6536401491123811,0.0350652345031223,0.9341445204000824,0.6533124159235196
pusht,4,0,1,2,743174,663706,0.0585587176626345,0.010691078601815049,0.04786763906081945,0.5064945489854957,0.23067022188987182,0.8582699246549524,0.5177865007518174
pusht,4,0,1,3,743174,383501,0.05297871542658486,0.006610774948311502,0.04636794047827336,0.6192681288392594,0.047415231337566664,0.9240156631018979,0.6196785567890363
pusht,4,0,2,3,663706,383501,0.06717848023151317,0.012432775837505948,0.05474570439400722,0.5647557846849811,0.1832549905523052,0.8998130306322121,0.5719631680194146
pusht,4,1,0,1,474361,716579,0.05861259668587414,0.005754588451314934,0.0528580082345592,0.6759807314073578,0.0583942109233604,0.9372251050168503,0.6763986619562167
pusht,4,1,0,2,474361,708922,0.06225664069102362,0.011247322415182788,0.051009318275840834,0.5215954936367122,0.14720162432698136,0.8773831143524816,0.5254831356345072
pusht,4,1,0,3,474361,381371,0.058726644801984175,0.006741211141103966,0.05198543366088021,0.6577826503068926,0.04690113209126047,0.9339285722879758,0.6573345692214377
pusht,4,1,1,2,716579,708922,0.05919703402884152,0.010243251061197145,0.048953782967644376,0.5205110684205554,0.20559583525034178,0.8633276236640202,0.5284543010524612
pusht,4,1,1,3,716579,381371,0.05242887261416346,0.006467665688925425,0.045961206925238036,0.6174925171598115,0.011493078832099948,0.9232945338564278,0.6170915862610944
pusht,4,1,2,3,708922,381371,0.06561291491079371,0.011903513841053174,0.053709401069740544,0.5686569885416377,0.19410275641824185,0.9004181090444053,0.5766534658441268
pusht,4,2,0,1,629183,498048,0.07238735663262648,0.00727407942210507,0.0651132772105214,0.7109944149262868,0.01345541671557703,0.95066811885234,0.711020449246655
pusht,4,2,0,2,629183,784372,0.057926674259275945,0.007682490635325378,0.05024418362395057,0.5597343964862089,0.006486343809925597,0.8866587224154759,0.5594645756164013
pusht,4,2,0,3,629183,369630,0.06282305639272555,0.008364761248628684,0.05445829514409686,0.6416724921949117,0.06590391465585306,0.9333907414188891,0.6416436865794735
pusht,4,2,1,2,498048,784372,0.05976781302132365,0.008732156335415417,0.05103565668590823,0.5607750071004768,0.019941760525502554,0.8950549592336071,0.5604429266697167
pusht,4,2,1,3,498048,369630,0.0633104562916948,0.009331301247857544,0.053979155043837254,0.6265001312638361,0.07935933137143,0.9237450571407494,0.6261526736556122
pusht,4,2,2,3,784372,369630,0.05629824399481184,0.007726236213847906,0.04857200778096394,0.5762242049784614,0.05941757084592735,0.9059248899055399,0.5769620409431512
reacher,2,0,0,1,990829,989323,0.017227600543507745,0.00023905417572692145,0.016988546367780823,1.8299095888387424,0.03353139770774938,0.6991164842470573,0.17055500139688015
reacher,2,1,0,1,996032,984120,0.017171562148377263,0.00023961373987439603,0.016931948408502866,1.8293994428458458,0.045850521876573215,0.6961225014063963,0.17147128164461667
reacher,2,2,0,1,986769,993383,0.017592536670337583,0.00026453367237476796,0.017328002997962815,1.8328661268663962,0.02099118207148734,0.6966828324191804,0.1673116979915818
reacher,3,0,0,1,621528,789885,0.016272812169306997,0.00019187191003750537,0.01608094025926949,1.5502814640930638,0.05267928227639541,0.8820137957123139,0.44973571138663443
reacher,3,0,0,2,621528,568739,0.010568520003997174,0.00012937746380468814,0.010439142540192486,0.9929958268538784,0.06485099488235432,0.8664178858337385,0.7650801881120298
