model,task,varied_factor,varied_value,K,rho,c_pert,c_bg,num_landmarks,B,diagnostic_seeds,nominal_knn,perturb_knn,candidate_gap_min,perturbation_threshold_max,S,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,decision,reason,agreement_with_baseline,elapsed_sec,cache_hit
subjepa,pusht,B,5,3,0.5,2.0,3.0,20000,5,"0,1,2,3,4",30,"27,33",0.09844281594349177,0.11816413353487915,-0.2003327251701923,-0.01972131759138737,0.2504722066354557,-0.7003327251701923,-0.27019352422684306,False,False,global,safety_and_background_checks_failed,True,0.0031359249842353165,False
subjepa,pusht,B,10,3,0.5,2.0,3.0,20000,10,"0,1,2,3,4,5,6,7,8,9",30,"27,33",0.09844281594349177,0.1601091211774002,-0.6264175261839946,-0.061666305233908425,0.2504722066354557,-1.1264175261839946,-0.31213851186936414,False,False,global,safety_and_background_checks_failed,True,0.006188121973536909,False
subjepa,pusht,kNN,"center=27,perturb=(24, 30)",3,0.5,2.0,3.0,20000,3,"0,1,2",27,"24,30",0.11036827761277826,0.12966986423298152,-0.17488346323498805,-0.01930158662020326,0.1684754472563197,-0.674883463234988,-0.18777703387652295,False,False,global,safety_and_background_checks_failed,True,0.0019052429706789553,False
subjepa,pusht,kNN,"center=30,perturb=(27, 33)",3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.14887969128124454,0.11816413353487915,0.20631126705079927,0.03071555774636539,0.159443393703713,-0.2936887329492007,-0.1287278359573476,False,False,global,safety_and_background_checks_failed,True,0.002099076984450221,True
subjepa,pusht,kNN,"center=33,perturb=(30, 36)",3,0.5,2.0,3.0,20000,3,"0,1,2",33,"30,36",0.19155108483195665,0.11816413353487915,0.383119476255946,0.07338695129707751,0.18023527008886378,-0.116880523744054,-0.10684831879178627,False,False,global,safety_and_background_checks_failed,True,0.0019201189861632884,False
subjepa,reacher,baseline,baseline,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0021585909998975694,True
subjepa,reacher,K,2,2,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.6122347392677951,0.0037697457170891013,0.9938426464960196,0.608464993550706,0.30752934038522955,0.4938426464960196,0.3009356531654765,True,True,spectral,spectrally_nondegenerate,False,0.0019284270238131285,False
subjepa,reacher,K,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0019063649815507233,True
subjepa,reacher,K,4,4,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2539097774034234,0.004833399156411011,0.9809641077793886,0.2490763782470124,0.19899963426009876,0.4809641077793886,0.05007674398691364,True,True,spectral,spectrally_nondegenerate,False,0.001905642042402178,False
subjepa,reacher,K,5,5,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.026283303297253154,0.006049894651526513,0.7698198516714304,0.02023340864572664,0.30366086238503526,0.2698198516714304,-0.2834274537393086,True,False,global,residual_gap_not_above_background,True,0.001882877026218921,False
subjepa,reacher,rho,0.4,3,0.4,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.253680961314664,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0018901079893112183,True
subjepa,reacher,rho,0.5,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0018846410093829036,True
