model,task,horizon,method_a,method_b,point_difference_pp,ci_low_pp,ci_high_pp,pr_delta_gt_zero,n_common_eval_blocks,n_bootstrap,resampling_unit
subjepa,pusht,short,Auto-LAP,Global-FT50,0.0,0.0,0.0,0.0,5,50000,eval-block
subjepa,pusht,short,Auto-LAP,K-means++,0.0444444444444656,-2.08888888888886,1.7777777777777857,0.5445,5,50000,eval-block
subjepa,pusht,short,Auto-LAP,Spectral,0.13333333333332575,-1.0666666666666629,1.37777777777778,0.5818,5,50000,eval-block
subjepa,reacher,long,Auto-LAP,Official Sub-JEPA,-3.7333333333333343,-6.400000000000006,-1.066666666666677,0.0051,5,50000,eval-block
subjepa,reacher,long,Auto-LAP,Global-FT50,0.0,0.0,0.0,0.0,5,50000,eval-block
subjepa,reacher,long,Auto-LAP,K-means++,1.4222222222222172,-2.1777777777777914,4.35555555555554,0.819,5,50000,eval-block
subjepa,reacher,long,Auto-LAP,Spectral,1.73333333333332,-1.6444444444444457,5.6000000000000085,0.84628,5,50000,eval-block
subjepa,reacher,short,Auto-LAP,Official Sub-JEPA,1.4666666666666686,-4.933333333333323,8.400000000000006,0.6598,5,50000,eval-block
subjepa,reacher,short,Auto-LAP,Global-FT50,0.0,0.0,0.0,0.0,5,50000,eval-block
subjepa,reacher,short,Auto-LAP,K-means++,1.0666666666666629,-3.200000000000017,5.377777777777766,0.70088,5,50000,eval-block
subjepa,reacher,short,Auto-LAP,Spectral,1.0666666666666629,-3.8666666666666742,6.222222222222214,0.68266,5,50000,eval-block
subjepa,tworoom,long,Auto-LAP,Official Sub-JEPA,1.4666666666666615,-2.3999999999999986,5.333333333333329,0.74882,5,50000,eval-block
subjepa,tworoom,long,Auto-LAP,Global-FT50,0.13333333333333286,-2.3999999999999986,2.799999999999997,0.51272,5,50000,eval-block
subjepa,tworoom,long,Auto-LAP,K-means++,0.7999999999999972,-1.37777777777778,2.75555555555556,0.7654,5,50000,eval-block
subjepa,tworoom,long,Auto-LAP,Spectral,0.3999999999999915,-0.7555555555555671,1.5999999999999943,0.73786,5,50000,eval-block
subjepa,tworoom,short,Auto-LAP,Official Sub-JEPA,-0.13333333333332575,-0.5333333333333456,0.0,0.0,5,50000,eval-block
subjepa,tworoom,short,Auto-LAP,Global-FT50,-0.9333333333333229,-2.0,0.0,0.0,5,50000,eval-block
subjepa,tworoom,short,Auto-LAP,K-means++,1.4210854715202004e-14,-0.6222222222222058,0.4444444444444713,0.52418,5,50000,eval-block
subjepa,tworoom,short,Auto-LAP,Spectral,-0.08888888888888857,-0.5333333333333314,0.3555555555555401,0.19922,5,50000,eval-block
