model,task,horizon,method,point_estimate,bootstrap_mean,bootstrap_std,ci_low,ci_high,n_train_seeds,n_partition_seeds,n_eval_blocks,episodes_per_block,n_bootstrap,resampling_unit,status
subjepa,pusht,long,Auto-LAP,46.4,46.388714666666665,4.075072658810502,39.2,54.93333333333333,3,0,5,50,50000,eval-block,ok
subjepa,pusht,short,Official Sub-JEPA,92.4,92.394104,1.3198013627754746,89.6,94.8,0,0,5,50,50000,eval-block,ok
subjepa,pusht,short,Global-FT50,94.53333333333335,94.53373866666665,1.1121939939369092,92.13333333333334,96.53333333333333,3,0,5,50,50000,eval-block,ok
subjepa,pusht,short,K-means++,94.48888888888888,94.49159644444444,0.7701623478088379,93.33333333333333,96.17777777777779,3,3,5,50,50000,eval-block,ok
subjepa,pusht,short,Spectral,94.40000000000002,94.39889866666667,0.8278560213002972,92.66666666666669,95.95555555555556,3,3,5,50,50000,eval-block,ok
subjepa,pusht,short,Auto-LAP,94.53333333333335,94.53373866666665,1.1121939939369092,92.13333333333334,96.53333333333333,3,0,5,50,50000,eval-block,ok
subjepa,reacher,long,Official Sub-JEPA,82.0,82.000256,0.9747762484098594,80.4,84.0,0,0,5,50,50000,eval-block,ok
subjepa,reacher,long,Global-FT50,78.26666666666667,78.26262666666668,1.446135951254622,75.2,81.06666666666666,3,0,5,50,50000,eval-block,ok
subjepa,reacher,long,K-means++,76.84444444444445,76.83493688888889,1.8697290214880777,72.97777777777777,80.22222222222223,3,3,5,50,50000,eval-block,ok
subjepa,reacher,long,Spectral,76.53333333333335,76.52601688888889,2.007936254093961,72.8,80.62222222222222,3,3,5,50,50000,eval-block,ok
subjepa,reacher,long,Auto-LAP,78.26666666666667,78.26262666666668,1.446135951254622,75.2,81.06666666666666,3,0,5,50,50000,eval-block,ok
subjepa,reacher,short,Official Sub-JEPA,83.6,83.614808,2.428848270916897,79.2,88.4,0,0,5,50,50000,eval-block,ok
subjepa,reacher,short,Global-FT50,85.06666666666666,85.08140533333334,2.3775569941841095,80.53333333333333,90.0,3,0,5,50,50000,eval-block,ok
subjepa,reacher,short,K-means++,84.0,84.01310044444446,1.703933527099903,80.35555555555555,86.93333333333334,3,3,5,50,50000,eval-block,ok
subjepa,reacher,short,Spectral,84.0,84.01995822222221,1.8199917867764193,79.95555555555555,87.06666666666666,3,3,5,50,50000,eval-block,ok
