task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
reacher,4,1,1,3,472734,509237,0.01883332846342981,0.00013399470068543244,0.018699333762744377
reacher,4,1,2,3,488246,509237,0.021018310829264815,0.00017605470571816067,0.020842256123546656
reacher,4,2,0,1,503695,506439,0.010667087826548268,9.011615155109177e-05,0.010576971674997175
reacher,4,2,0,2,503695,499643,0.017952988636938366,0.00013152184898537156,0.017821466787952996
reacher,4,2,0,3,503695,470375,0.02232015979003684,0.00014082002285313038,0.02217933976718371
reacher,4,2,1,2,506439,499643,0.02061875987231218,0.0001679578147514664,0.020450802057560714
reacher,4,2,1,3,506439,470375,0.019527899034817307,0.000131762018773509,0.0193961370160438
reacher,4,2,2,3,499643,470375,0.013086675153677308,0.00010209960111452006,0.012984575552562787
cube,2,0,0,1,992583,987569,0.13786138495711808,0.000789638231991512,0.13707174672512656
cube,2,1,0,1,984652,995500,0.1377031244174439,0.0007866929940173608,0.13691643142342652
cube,2,2,0,1,973254,1006898,0.13962002297417433,0.0008241697414029601,0.13879585323277138
cube,3,0,0,1,620424,780541,0.12580782562880918,0.001844867322010712,0.12396295830679846
cube,3,0,0,2,620424,579187,0.2969793589124774,0.00025983704917477147,0.29671952186330264
cube,3,0,1,2,780541,579187,0.2807422958137419,0.0018438007510965253,0.27889849506264536
cube,3,1,0,1,787758,632552,0.12578081542252637,0.001715659160733487,0.12406515626179289
cube,3,1,0,2,787758,559842,0.28958023205467115,0.0017531795790470984,0.28782705247562407
cube,3,1,1,2,632552,559842,0.30600238388076156,0.0002996411895149372,0.30570274269124664
cube,3,2,0,1,623779,549538,0.3141869248018396,0.00030387663240154456,0.313883048169438
cube,3,2,0,2,623779,806835,0.12511012518939568,0.0017117476991773777,0.12339837749021831
cube,3,2,1,2,549538,806835,0.29638807583675164,0.0018630123652292256,0.2945250634715224
cube,4,0,0,1,386829,655486,0.11956126909328227,0.002181622937666648,0.11737964615561562
cube,4,0,0,2,386829,386320,0.1456559408189066,0.000435730870686099,0.1452202099482205
cube,4,0,0,3,386829,551517,0.3265671465254474,0.0006077780468256165,0.3259593684786218
cube,4,0,1,2,655486,386320,0.19985440506956934,0.001877543123410859,0.1979768619461585
cube,4,0,1,3,655486,551517,0.30009757127761555,0.0018910496725385642,0.298206521605077
cube,4,0,2,3,386320,551517,0.3259263505178696,0.0006306024581386187,0.325295748059731
cube,4,1,0,1,400846,534462,0.3281708608612502,0.0007101445490283589,0.32746071631222184
cube,4,1,0,2,400846,648809,0.19923407758445089,0.001780450518769263,0.19745362706568162
cube,4,1,0,3,400846,396035,0.14219411182722466,0.00046838853019392525,0.14172572329703073
cube,4,1,1,2,534462,648809,0.30041096745053975,0.001805100814221876,0.2986058666363179
cube,4,1,1,3,534462,396035,0.32304294028070907,0.0006544607743999945,0.32238847950630906
cube,4,1,2,3,648809,396035,0.11373720767719081,0.0022291593620736294,0.11150804831511718
cube,4,2,0,1,399642,651048,0.20570280628665413,0.0017099651134951674,0.20399284117315897
cube,4,2,0,2,399642,397150,0.14572986446985053,0.0004337925215524075,0.14529607194829813
cube,4,2,0,3,399642,532312,0.3372810649080199,0.0007707826869121493,0.33651028222110774
cube,4,2,1,2,651048,397150,0.11956272314393258,0.002161633118611009,0.11740109002532158
cube,4,2,1,3,651048,532312,0.3108259077538235,0.0017807548366833902,0.30904515291714013
cube,4,2,2,3,397150,532312,0.33955719571354376,0.0006400925366464678,0.33891710317689727
