task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
reacher,2,1,0,1,984110,996042,0.015458179739061776,0.00019004847254138003,0.015268131266520397,1.7458711320953175,0.03516882834659042,0.7030942996095797,0.2545879297300279
reacher,2,2,0,1,986968,993184,0.015585224576469603,0.00020257032459980912,0.015382654251869793,1.7476319458590082,0.019565031491482435,0.7021655272140179,0.2525069784512059
reacher,3,0,0,1,788478,601542,0.021204976599270793,0.00020793791287510445,0.02099703868639569,1.586682369054865,0.10135846077480282,0.8652574414879549,0.4163173274518974
reacher,3,0,0,2,788478,590132,0.022067646806716596,0.0002296850312571223,0.021837961775459474,1.6129054197798227,0.07708840211396752,0.8655587813105441,0.38881285923240444
reacher,3,0,1,2,601542,590132,0.009979071263238434,0.0001052700934974224,0.009873801169741011,0.808243249637867,0.024270058660835418,0.8539082635513952,0.6398453355390883
reacher,3,1,0,1,598515,798544,0.02120559442135876,0.0002443630134738987,0.02096123140788486,1.5930429259697951,0.09021800100568612,0.8666031235276483,0.4093618102846426
reacher,3,1,0,2,598515,583093,0.010110209677728526,9.685176271151277e-05,0.010013357915017014,0.8218483957636814,0.01571162938197812,0.8511740987572118,0.6328164388341442
reacher,3,1,1,2,798544,583093,0.021504907931417235,0.00021452513126065235,0.021290382800156583,1.5941295923398289,0.07450637162370795,0.8660549299826495,0.40702514542133306
reacher,3,2,0,1,590023,791187,0.02262343253969767,0.00022229301671345455,0.022401139522984215,1.6059070331434468,0.0482001354388845,0.8649059638123365,0.3947932898798505
reacher,3,2,0,2,590023,598942,0.010522852930565024,0.00010127702437705907,0.010421575906187964,0.8451058849750337,0.07791523279475922,0.8551586649031476,0.6557027997556869
reacher,3,2,1,2,791187,598942,0.020552354584408485,0.00021466172881011574,0.02033769285559837,1.5693002951874921,0.12611536823364378,0.8760697216364924,0.4348008617289281
reacher,4,0,0,1,502998,487391,0.01827592577103102,0.0001311423197755487,0.01814478345125547,1.2913505307088138,0.08718747018988658,0.9615067536016116,0.7089086576671183
reacher,4,0,0,2,502998,497780,0.02029556944529476,0.0001310054402565224,0.020164564005038237,1.5208643327907791,0.03175039198651229,0.888001162261806,0.4790214100690359
reacher,4,0,0,3,502998,491983,0.011645096559442137,0.00010417495140277795,0.01154092160803936,0.8470455827087354,0.057390803752736134,0.914393100498887,0.6928117830761913
reacher,4,0,1,2,487391,497780,0.012565605162006258,0.00010229268626173104,0.012463312475744526,0.860277888705185,0.055437078203374394,0.9126890037946188,0.6974286993523255
reacher,4,0,1,3,487391,491983,0.022986067230095504,0.0001929716212462105,0.022793095608849293,1.535758117393304,0.029796666437150347,0.8919077581404925,0.46410567326830754
reacher,4,0,2,3,497780,491983,0.018529959588487934,0.00012766297105912787,0.018402296617428805,1.310642245526167,0.025640411766223843,0.9555204454200564,0.6890097134803858
