task,seed,knn,global_idx,umap_1,umap_2,aligned_cluster,agrees_with_nominal
tworoom,0,27,29700,9.28300571,7.32096863,3,1
tworoom,0,27,29741,-2.31743288,-3.70074058,1,1
tworoom,0,27,29756,-1.96609390,-5.26695442,1,1
tworoom,0,27,29827,-4.85582590,6.60301399,2,1
tworoom,0,27,29854,-1.03497612,10.00838757,2,1
tworoom,0,27,29869,-0.13307248,5.57518101,2,1
tworoom,0,27,29884,-0.03780559,-2.31673050,1,1
tworoom,0,27,29930,-2.58223486,12.50463390,2,1
tworoom,0,27,29979,2.32778502,-3.96253514,1,1
tworoom,0,27,30172,8.50389957,2.26859808,1,1
tworoom,0,27,30180,8.39688301,-1.87730014,1,1
tworoom,0,27,30214,-2.22566772,10.40750694,2,1
tworoom,0,27,30257,11.44364166,-3.68953943,1,1
tworoom,0,27,30296,13.30948544,6.97572041,3,1
tworoom,0,27,30364,-3.20551705,10.92685890,2,1
tworoom,0,27,30409,-2.70912576,-2.55845547,1,1
tworoom,0,27,30431,-0.64640456,-0.87994653,1,1
tworoom,0,27,30454,2.25956893,-4.61116600,1,1
tworoom,0,27,30530,8.13458729,-0.05146980,1,1
tworoom,0,27,30669,10.51229000,11.53615570,3,1
tworoom,0,27,30683,7.19252872,5.41035366,3,1
tworoom,0,27,30797,8.53521633,5.56452799,3,1
tworoom,0,27,30798,7.73826885,3.90284729,3,1
tworoom,0,27,30837,-2.13472629,11.11914349,2,1
tworoom,0,27,30869,-4.07039452,-0.57950377,1,1
tworoom,0,27,30912,6.79376459,0.11702085,1,1
tworoom,0,27,30927,8.67575741,6.65665722,3,1
tworoom,0,27,30941,8.27578831,13.10476017,3,1
tworoom,0,27,30978,-1.61997998,7.41244555,2,1
tworoom,0,27,31055,15.98280716,10.63092613,3,1
tworoom,0,27,31161,-1.40908837,11.78854847,2,1
tworoom,0,27,31163,-2.85949469,9.53584862,2,1
tworoom,0,27,31290,12.74557018,3.98806453,3,1
tworoom,0,27,31321,3.06698370,-4.13943720,1,1
tworoom,0,27,31363,-4.15955162,11.62328529,2,1
tworoom,0,27,31431,1.25366557,-6.41838264,1,1
tworoom,0,27,31506,13.71338940,3.05943131,3,1
tworoom,0,27,31551,6.86064863,1.34361291,1,1
tworoom,0,27,31662,5.59730291,-2.18632364,1,1
tworoom,0,27,31747,5.77889585,-0.44164321,1,1
tworoom,0,27,31781,-3.31905246,-0.53143287,1,1
tworoom,0,27,31799,7.55330515,2.22448707,1,1
tworoom,0,27,31832,14.38740158,11.19345284,3,1
tworoom,0,27,31909,-4.13369989,9.42915726,2,1
tworoom,0,27,31930,-2.52560902,13.11830521,2,1
tworoom,0,27,31951,-2.63355684,12.56381130,2,1
tworoom,0,27,31996,-1.50203586,12.76660919,2,1
tworoom,0,27,32024,12.44286823,-2.44452214,1,1
tworoom,0,27,32065,-4.09779263,1.73296785,2,1
tworoom,0,27,32108,-5.16454506,3.94498134,2,1
tworoom,0,27,32174,4.29835987,-2.54248857,1,1
tworoom,0,27,32193,-0.33853564,-5.14008331,1,1
tworoom,0,27,32196,1.47488499,-6.57031584,1,1
tworoom,0,27,32312,13.69959068,2.65053582,3,1
tworoom,0,27,32326,-0.41325644,11.20706081,2,1
tworoom,0,27,32443,-4.05917883,2.18558335,2,1
tworoom,0,27,32445,-3.71355629,2.45114589,2,1
tworoom,0,27,32458,-4.14892435,0.82531685,2,1
tworoom,0,27,32518,2.18233514,-3.48914170,1,1
tworoom,0,27,32566,6.83858728,0.29177383,1,1
tworoom,0,27,32618,-2.64566612,4.57906246,2,1
tworoom,0,27,32701,8.65823841,0.94820416,1,1
tworoom,0,27,32738,14.22112370,4.51905012,3,1
tworoom,0,27,32787,-1.11374128,8.25745106,2,1
tworoom,0,27,32795,-3.49106193,8.01415157,2,1
tworoom,0,27,32804,-3.49955916,7.87895727,2,1
tworoom,0,27,32875,8.94808388,-2.25093961,1,1
tworoom,0,27,32919,-2.07885456,7.54087496,2,1
tworoom,0,27,33017,-1.76482356,15.52016258,2,1
tworoom,0,27,33058,-2.44493341,-3.40092039,1,1
tworoom,0,27,33157,-3.61354375,10.13289928,2,1
tworoom,0,27,33183,-0.75448877,14.74254608,2,1
tworoom,0,27,33253,-1.67672455,-0.39354345,1,1
tworoom,0,27,33287,7.95254326,2.81714869,1,1
tworoom,0,27,33290,7.45814228,2.11182523,1,1
tworoom,0,27,33362,-1.51164949,13.48671246,2,1
tworoom,0,27,33393,-4.85326433,12.34229946,2,1
tworoom,0,27,33445,10.18744373,15.87305927,3,1
tworoom,0,27,33493,-3.33128762,-1.74525774,1,1
tworoom,0,27,33543,-1.22061646,16.13438034,2,1
tworoom,0,27,33564,-4.21425438,15.99079037,2,1
tworoom,0,27,33655,-4.47131681,0.88893348,2,1
tworoom,0,27,33703,9.33742619,-5.12665606,1,1
tworoom,0,27,33725,11.32279873,12.13819408,3,1
tworoom,0,27,33746,12.23253155,-2.62982464,1,1
tworoom,0,27,33820,-1.88027143,12.89206696,2,1
tworoom,0,27,33854,-1.31341434,12.33697414,2,1
tworoom,0,27,33881,-2.04494691,9.60448742,2,1
