task,method,num_clusters,partition_seed,train_seed,global_same_cache_eval_loss,regional_weighted_same_cache_eval_loss,regional_minus_global_loss,relative_regional_gain,min_region_loss,max_region_loss
pusht,kmeanspp,4,2,625,0.001381961730386462,0.001246441830598039,-0.00013551989978842298,0.09806342448464561,0.0011636297305254381,0.001305042325296589
reacher,spectral,4,0,0,0.019780301200651985,0.02091981588339847,0.0011395146827464855,-0.05760856071842453,0.020811335985713306,0.02110850662828401
reacher,spectral,4,0,42,0.019773195339011968,0.02090090328659904,0.0011277079475870734,-0.057032155311900284,0.020761190981921047,0.021120521779498233
reacher,spectral,4,0,625,0.019780660562459557,0.020914880128744255,0.0011342195662846985,-0.05733982253541425,0.020740075566061274,0.02114129785536612
reacher,spectral,4,1,0,0.019780301200651985,0.020941510426503905,0.0011612092258519204,-0.05870533588303728,0.020706406840412014,0.021112090911499726
reacher,spectral,4,1,42,0.019773195339011968,0.020928126357999215,0.0011549310189872472,-0.058408921733990066,0.020680319323635944,0.021077619462106133
reacher,spectral,4,1,625,0.019780660562459557,0.020936931493815363,0.0011562709313558059,-0.058454616705279204,0.020709065930912304,0.0210992344494466
reacher,spectral,4,2,0,0.019780301200651985,0.020922479620024605,0.0011421784193726206,-0.05774322684909231,0.020862726323409176,0.0210698233814938
reacher,spectral,4,2,42,0.019773195339011968,0.02093592143930286,0.001162726100290893,-0.05880314639874449,0.020848131254531267,0.021090959211077183
reacher,spectral,4,2,625,0.019780660562459557,0.020916509016890357,0.0011358484544308003,-0.057422170045547116,0.020809386648809942,0.02107960367453662
reacher,gmm,4,0,0,0.019780301200651985,0.02091498376935479,0.001134682568702805,-0.05736427151399517,0.019474866571979395,0.021990909638319046
reacher,gmm,4,0,42,0.019773195339011968,0.020884860861604862,0.0011116655225928938,-0.05622083348358009,0.019472429006121558,0.021948293820413543
reacher,gmm,4,0,625,0.019780660562459557,0.020902221525996155,0.0011215609635365983,-0.05669987410153212,0.01948634063896157,0.02205606751110803
reacher,gmm,4,1,0,0.019780301200651985,0.0209129043507826,0.0011326031501306157,-0.05725914578556992,0.02010369015854992,0.02162542745730326
reacher,gmm,4,1,42,0.019773195339011968,0.02091636475671039,0.0011431694176984204,-0.057814096209477014,0.02009778388362173,0.021682957171516613
reacher,gmm,4,1,625,0.019780660562459557,0.020906989609152295,0.0011263290466927388,-0.056940921822920626,0.02008610635697828,0.021667401597324287
reacher,gmm,4,2,0,0.019780301200651985,0.020957177887142662,0.0011768766864906771,-0.059497409799396064,0.020015053265924697,0.021897333592945326
reacher,gmm,4,2,42,0.019773195339011968,0.020936478836166422,0.001163283497154454,-0.05883133591763633,0.019944353960266573,0.021819818645704783
reacher,gmm,4,2,625,0.019780660562459557,0.020973311589119616,0.001192651026660059,-0.06029379165039183,0.019983801202673044,0.021891131095927358
reacher,kmeanspp,4,0,0,0.019780301200651985,0.020917950575971737,0.001137649375319752,-0.05751425945335219,0.019735665039563234,0.022149700552486204
reacher,kmeanspp,4,0,42,0.019773195339011968,0.02093015413526898,0.0011569587962570113,-0.05851147355907437,0.01978796986659076,0.022121230710127216
reacher,kmeanspp,4,0,625,0.019780660562459557,0.020909122048360523,0.001128461485900966,-0.057048726069472144,0.019751518574016184,0.022097380841845482
reacher,kmeanspp,4,1,0,0.019780301200651985,0.02090491903867915,0.0011246178380271664,-0.05685544555762869,0.0189905701561212,0.022157095066130814
reacher,kmeanspp,4,1,42,0.019773195339011968,0.020908407614206738,0.0011352122751947698,-0.05741167554012008,0.019005930647042493,0.02212669088854756
reacher,kmeanspp,4,1,625,0.019780660562459557,0.020918351101476516,0.0011376905390169598,-0.05751529557997216,0.01899660576316697,0.022166441386486647
reacher,kmeanspp,4,2,0,0.019780301200651985,0.020888024655563265,0.0011077234549112802,-0.05600134414913602,0.01883748967016545,0.02208567029368898
reacher,kmeanspp,4,2,42,0.019773195339011968,0.020906189363822193,0.001132994024810225,-0.05729949082002236,0.018845664517604978,0.0221139279629044
reacher,kmeanspp,4,2,625,0.019780660562459557,0.02087229942898818,0.001091638866528622,-0.05518717957277793,0.01882614219557975,0.022074328858204994
cube,spectral,4,0,0,0.0008557424209922944,0.0007552115214504198,-0.00010053089954187452,0.11747798996022865,0.0007073890476953597,0.000832982735102104
cube,spectral,4,0,42,0.0008673792057492004,0.0007645558240701917,-0.00010282338167900864,0.11854490054346502,0.0007025021127126308,0.0008453118141410111
cube,spectral,4,0,625,0.0008530418259057923,0.0007678657855445881,-8.517604036120425e-05,0.0998497820089432,0.0007214796665358928,0.0008540852730771223
cube,spectral,4,1,0,0.0008557424209922944,0.0007511504727426745,-0.0001045919482496199,0.12222363375224297,0.000672167509918277,0.0008265460021631916
cube,spectral,4,1,42,0.0008673792057492004,0.0007596275323944295,-0.00010775167335477093,0.12422671957151685,0.0006903082567288585,0.0008472770775351102
cube,spectral,4,1,625,0.0008530418259057923,0.0007443780731451824,-0.00010866375276060998,0.1273838508976118,0.0006692461475587014,0.0008134531919469536
cube,spectral,4,2,0,0.0008557424209922944,0.000752983217585679,-0.00010275920340661535,0.12008193223313474,0.000685778671940079,0.0008283949399054294
cube,spectral,4,2,42,0.0008673792057492004,0.0007578323342061353,-0.00010954687154306512,0.1262964004866174,0.0006990675705635118,0.0008209546218339395
cube,spectral,4,2,625,0.0008530418259057923,0.0007477286771514965,-0.00010531314875429588,0.12345602004036597,0.000669319723297467,0.0008273458708780918
cube,gmm,4,0,0,0.0008557424209922944,0.0007658713259763267,-8.987109501596769e-05,0.10502119891608944,0.0006996900566041737,0.0008475081851338308
cube,gmm,4,0,42,0.0008673792057492004,0.0007613600182684392,-0.00010601918748076122,0.12222933957609343,0.0007043829480485802,0.00082284014686428
cube,gmm,4,0,625,0.0008530418259057923,0.0007563919662523283,-9.664985965346406e-05,0.11330025881302778,0.0006871714747816025,0.0008279166253613277
cube,gmm,4,1,0,0.0008557424209922944,0.0007630259663481787,-9.27164546441156e-05,0.10834621770486061,0.000694182707218871,0.0008245055226560822
cube,gmm,4,1,42,0.0008673792057492004,0.0007616715137017813,-0.00010570769204741907,0.12187021702476007,0.0006998703039192375,0.000831492174099311
cube,gmm,4,1,625,0.0008530418259057923,0.0007488993272139828,-0.00010414249869180952,0.12208369569830535,0.0006838039628592474,0.0008162861860934589
cube,gmm,4,2,0,0.0008557424209922944,0.0007581580936568485,-9.758432733544581e-05,0.11403469658812733,0.0007139868754861786,0.0008672024287399216
cube,gmm,4,2,42,0.0008673792057492004,0.0007559897490157306,-0.00011138945673346977,0.12842071379525052,0.0007192327950408859,0.0008411781931535082
cube,gmm,4,2,625,0.0008530418259057923,0.0007559214148580925,-9.71204110476998e-05,0.11385187466578635,0.0007180216851955162,0.0008416550271279662
cube,kmeanspp,4,0,0,0.0008557424209922944,0.0008396822097004708,-1.606021129182359e-05,0.01876757643170316,0.0007859426062533996,0.0009166916150029465
cube,kmeanspp,4,0,42,0.0008673792057492004,0.000834907514350626,-3.2471691398574414e-05,0.03743655737115225,0.0007848366682954318,0.0009115829623087083
cube,kmeanspp,4,0,625,0.0008530418259057923,0.0008338378953733729,-1.9203930532419428e-05,0.02251229652429758,0.0007951873319012322,0.0008858217740861954
cube,kmeanspp,4,1,0,0.0008557424209922944,0.0008213847222282134,-3.4357698764080936e-05,0.04014957996851522,0.0007440408268031363,0.0009461343442480273
cube,kmeanspp,4,1,42,0.0008673792057492004,0.0008317494530566545,-3.56297526925459e-05,0.0410774808254374,0.0007457968566444594,0.0009777951643840592
cube,kmeanspp,4,1,625,0.0008530418259057923,0.0008343504033364593,-1.8691422569333082e-05,0.02191149601543373,0.000757578134464785,0.0009812993832693183
cube,kmeanspp,4,2,0,0.0008557424209922944,0.0008230187385170548,-3.2723682475239535e-05,0.03824010785546204,0.0007665249349833811,0.0009086875299764468
cube,kmeanspp,4,2,42,0.0008673792057492004,0.0008222814643567387,-4.5097741392461656e-05,0.05199310877358237,0.0007695352554465782,0.0008982430791096021
cube,kmeanspp,4,2,625,0.0008530418259057923,0.0008302608893027776,-2.2780936603014786e-05,0.02670553296589545,0.0007792522120019239,0.000906497183870801
