task,method,num_clusters,partition_seed,region,train_transitions,heldout_transitions,heldout_mse,heldout_response_energy,normalized_residual_energy,normalized_residual_l2
reacher,gmm,4,2,3,344015,89918,15.484208805391225,15.702409600190908,0.9861039929313122,0.9930276899116722
reacher,kmeanspp,4,0,0,383796,97833,15.011893181668702,15.134645977214184,0.991889285304044,0.9959363861733559
reacher,kmeanspp,4,0,1,399796,101944,12.1997070559123,12.374419859156086,0.985881131783765,0.9929154706135689
reacher,kmeanspp,4,0,2,411466,97856,13.52013623530785,13.641864047346363,0.9910768930392477,0.9955284491360594
reacher,kmeanspp,4,0,3,388992,98469,12.995400231320437,13.16784419152333,0.9869041615548655,0.9934305016229699
reacher,kmeanspp,4,1,0,382091,98506,11.294933105535383,11.489533762193266,0.9830627890839031,0.9914952289768737
reacher,kmeanspp,4,1,1,389551,96256,13.127097499057406,13.330822994627292,0.9847177105530549,0.9923294365043571
reacher,kmeanspp,4,1,2,417987,101666,13.81131643727052,13.938283595317152,0.9908907608904378,0.9954349606530996
reacher,kmeanspp,4,1,3,394421,99674,15.307461418726485,15.467615676825167,0.9896458341450365,0.9948094461478724
reacher,kmeanspp,4,2,0,357802,89133,12.819722329090188,13.154032942382521,0.9745849341599885,0.9872106837752459
reacher,kmeanspp,4,2,1,425654,108533,14.996995982520115,15.137811355823725,0.9906977719570117,0.9953380189448264
reacher,kmeanspp,4,2,2,385861,92073,14.230583766807376,14.38986899867652,0.9889307378765023,0.9944499675079196
reacher,kmeanspp,4,2,3,414733,106363,11.41184076297064,11.596132766776952,0.9841074600030183,0.9920219050016075
cube,spectral,4,0,0,440004,104023,3.6022998171600484,3.7771355565877553,0.9537120823946142,0.9765818359946156
cube,spectral,4,0,1,533508,132756,5.203171267606035,5.381877143973417,0.9667948800043689,0.9832572806770203
cube,spectral,4,0,2,321117,87599,3.5319054007665156,3.780244704762325,0.9343060242415118,0.9665950673583596
cube,spectral,4,0,3,289421,71724,3.4736551181088946,3.7047398805335376,0.9376245647801423,0.9683101593911645
cube,spectral,4,1,0,443869,117914,3.3692895859829566,3.552676209447873,0.9483807100187672,0.9738484019696121
cube,spectral,4,1,1,369263,89256,4.592495765852538,4.818086794819186,0.9531782969934826,0.9763085050297793
cube,spectral,4,1,2,383890,91486,3.5392273184046865,3.727025831449124,0.9496116953470595,0.9744802180378315
cube,spectral,4,1,3,387028,97446,5.040869649345576,5.278059340321342,0.9550611928206695,0.9772723227538317
cube,spectral,4,2,0,368106,88306,4.556466355784292,4.784970242356722,0.9522454947473434,0.9758306690954858
cube,spectral,4,2,1,377020,89494,3.4785265366318443,3.6668465805511126,0.9486425080018034,0.9739828068306973
cube,spectral,4,2,2,398682,101917,5.000738075982798,5.230602409690216,0.9560539464285086,0.9777801114915913
cube,spectral,4,2,3,440242,116385,3.4296252376118534,3.6126667295814263,0.9493334133285025,0.9743374227281341
cube,gmm,4,0,0,319668,77093,3.1787471638606233,3.38632849887417,0.9387001777640415,0.9688654074555668
cube,gmm,4,0,1,356394,84630,4.719726634421706,4.9739099502171555,0.9488966792041837,0.9741132784251448
cube,gmm,4,0,2,411656,103141,5.046401638173977,5.289442912946784,0.9540516309991883,0.9767556659672819
cube,gmm,4,0,3,496332,131238,3.4584170787411237,3.6322347161439317,0.9521458135317485,0.9757795927010098
cube,gmm,4,1,0,317165,81457,3.315281047366072,3.5546474592774517,0.9326609981289016,0.9657437538648136
cube,gmm,4,1,1,532349,126895,3.963358610513387,4.118189490807043,0.9624031675474666,0.9810214918886673
cube,gmm,4,1,2,387814,97341,5.456640932616257,5.697394272642055,0.957743254458998,0.9786435788677091
cube,gmm,4,1,3,346722,90409,3.5211819850884805,3.733381010657708,0.9431617011594955,0.9711651255885868
cube,gmm,4,2,0,375965,97500,3.924024904878221,4.1264835644008615,0.9509367585347366,0.9751598630659163
cube,gmm,4,2,1,305933,81775,3.5782798571145875,3.8421607021454727,0.9313196751808082,0.9650490532510811
cube,gmm,4,2,2,412471,99430,5.340049336788399,5.574280399802958,0.9579800357687716,0.9787645456230888
