q,weakest_pair_bures,r_pair,r_b,r_Q,affine_reference_gain_normalized,decomposition_sum,decomposition_abs_error,Sc,min_region_fraction,max_region_fraction,task,method,num_clusters,partition_seed,transition_count,global_affine_residual_energy
0.3062438293932693,0.6124876587865385,0.04730831153321556,0.015352403243794683,0.2919914037408588,0.6608959479111383,0.6608959479111383,0.0,0.2974380859395908,0.22570742044045103,0.2697707044711719,reacher,kmeanspp,4,2,1980152,13.564838977976263
0.30015282317521236,0.6003056463504247,0.042037061619972366,0.0038906910625804265,0.055004729140167664,0.4010853049979328,0.4010853049979329,5.551115123125783e-17,0.3207045340332216,0.18238246356845333,0.33647113958928404,cube,spectral,4,0,1980152,4.1580408364527655
0.3274303188146562,0.6548606376293123,0.022323092425770064,0.003828136440810569,0.046280271031711034,0.3998618187129478,0.3998618187129479,1.1102230246251565e-16,0.3273491332042917,0.23155747639575144,0.2837070083508741,cube,spectral,4,1,1980152,4.1580408364527655
0.32598424944718385,0.6519684988943677,0.023082262963308904,0.0037721288898315115,0.0455034534704899,0.3983420947708142,0.39834209477081417,5.551115123125783e-17,0.32521047791237295,0.23049341666700335,0.28110316783762057,cube,spectral,4,2,1980152,4.1580408364527655
0.30924189302942146,0.6184837860588429,0.03529514095422885,0.004215432960031545,0.06620549639036812,0.41495796333405,0.41495796333404994,5.551115123125783e-17,0.3333021663942324,0.200368961574667,0.31693021545820727,cube,gmm,4,0,1980152,4.1580408364527655
0.31891121880132467,0.6378224376026493,0.028956292597270488,0.003831713961031972,0.04659832112811965,0.3982975464877468,0.39829754648774685,5.551115123125783e-17,0.3244739654776216,0.2013087884162428,0.33292595719924534,cube,gmm,4,1,1980152,4.1580408364527655
0.3137958408855297,0.6275916817710594,0.03515365367829626,0.0036314599867547474,0.05384191624614228,0.4064228707967231,0.40642287079672296,1.6653345369377348e-16,0.3320647155091359,0.19579709032437914,0.30658151495440755,cube,gmm,4,2,1980152,4.1580408364527655
0.23597377204215514,0.4719475440843103,0.07121805322296941,0.004000886969300613,0.025371318758032824,0.3365640309924581,0.336564030992458,5.551115123125783e-17,0.2422157800091019,0.24297023662829925,0.25887002613940746,cube,kmeanspp,4,0,1980152,4.1580408364527655
0.213507153175591,0.427014306351182,0.0985394871862722,0.00452798180613337,0.017557082894532366,0.3341317050625288,0.334131705062529,1.6653345369377348e-16,0.2405528399700244,0.22252029137157148,0.26900207660826037,cube,kmeanspp,4,1,1980152,4.1580408364527655
0.25038034705723083,0.5007606941144617,0.0583249093957165,0.0037668857216882697,0.029663157048833703,0.3421352992234693,0.3421352992234693,0.0,0.24485351866160274,0.22982326609270398,0.2652836751926115,cube,kmeanspp,4,2,1980152,4.1580408364527655
