task,method,num_clusters,partition_seed,region_i,region_j,pi_i,pi_j,energy_i,energy_j,bures_squared,normalized_bures,q_ij,weight,fixed_action_factor_distance_squared,orthogonal_relaxation_gap,intercept_distance_squared
pusht,spectral,4,1,0,1,0.2079406180780306,0.31411916275102103,0.0871148635664801,0.07751249094806906,0.1113537223157092,0.6763986619603255,0.33819933098016275,0.16016647100469647,0.11137573623330685,2.2013917597651922e-05,0.012125343857845998
pusht,spectral,4,1,0,2,0.2079406180780306,0.31076264458737884,0.0871148635664801,0.1169364666702201,0.10722553284369904,0.5254831356370825,0.26274156781854124,0.19640087357767602,0.1074804096385987,0.0002548767948996611,0.02369894092652059
pusht,spectral,4,1,0,3,0.2079406180780306,0.1671775745835695,0.0871148635664801,0.07931484047386102,0.10939999781166636,0.6573345692253875,0.32866728461269373,0.08617554471507916,0.1095371570130928,0.00013715920142644278,0.0142042309012646
pusht,spectral,4,1,1,2,0.31411916275102103,0.31076264458737884,0.07751249094806906,0.1169364666702201,0.10275738798908113,0.528454301055179,0.2642271505275895,0.28272532038865883,0.10314924458054309,0.0003918565914619587,0.021583288255979573
pusht,spectral,4,1,1,3,0.31411916275102103,0.1671775745835695,0.07751249094806906,0.07931484047386102,0.09677682671687031,0.6170915862650294,0.3085457931325147,0.12266765120041391,0.09684366532984315,6.683861297283877e-05,0.013627850383965074
pusht,spectral,4,1,2,3,0.31076264458737884,0.1671775745835695,0.1169364666702201,0.07931484047386102,0.11316899644165129,0.5766534658470652,0.2883267329235326,0.15186413911347554,0.11316968396250039,6.875208490991769e-07,0.025081584836256762
pusht,spectral,4,2,0,1,0.27580830191392114,0.21832403792159766,0.0951818754800785,0.09777807535067642,0.13719847092700685,0.7110204492503398,0.3555102246251699,0.1703115581864258,0.13719849517795016,2.4250943309045425e-08,0.015327023815604338
pusht,spectral,4,2,0,2,0.27580830191392114,0.3438368636610114,0.0951818754800785,0.09395508532982616,0.10581542951344869,0.5594645756193593,0.2797322878096796,0.26290825969805953,0.10586821428697407,5.27847735253828e-05,0.01618757647503296
pusht,spectral,4,2,0,3,0.27580830191392114,0.16203079650346983,0.0951818754800785,0.08342781031108526,0.11460377725048537,0.6416436865830659,0.32082184329153296,0.11699787149860516,0.11474765921503105,0.00014388196454567792,0.017625171163236197
pusht,spectral,4,2,1,2,0.21832403792159766,0.3438368636610114,0.09777807535067642,0.09395508532982616,0.10745549371197637,0.5604429266726397,0.28022146333631986,0.21096930705218034,0.10753590661834592,8.041290636955079e-05,0.01839929980799695
pusht,spectral,4,2,1,3,0.21832403792159766,0.16203079650346983,0.09777807535067642,0.08342781031108526,0.1134625497898714,0.6261526736590677,0.31307633682953384,0.0939592355439899,0.11373807555481241,0.000275525764941012,0.01966174249099712
pusht,spectral,4,2,2,3,0.3438368636610114,0.16203079650346983,0.09395508532982616,0.08342781031108526,0.10234319749796322,0.5769620409464039,0.28848102047320195,0.14485376802073932,0.10234481600080064,1.6185028374193777e-06,0.016279751647303504
pusht,gmm,4,0,0,1,0.3372597187573562,0.19412002193550593,0.07825557873546943,0.1520486744700363,0.12733393072046809,0.5528943949065722,0.2764471974532861,0.2118736135802815,0.12737990421875237,4.597349828427966e-05,0.03576146555778043
