task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
pusht,0,42,3,36.0,44.0,-8.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train42/eval3/results.json,0b35998a73187083e714ef88fe01cec354bd86ccecb26ce609f45fedf37c4531,experiments/pusht/matrix_k4_long/eval/global/train42/eval3/results.json,32d4e26bc5cd9596034ea817382fcf3bb58738b505457a54af555440387cf35d
pusht,0,42,4,48.0,48.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train42/eval4/results.json,928c262c0976d93e48e6fed1ad2760e28f87c22bf9d58c8cb9f30f6ec836eb32,experiments/pusht/matrix_k4_long/eval/global/train42/eval4/results.json,d55929893eba05c48a3a9904e68b343923ac698c547038a3f3aae9f1186e64ff
pusht,0,625,0,34.0,32.0,2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train625/eval0/results.json,428abed155a2e75b2802d4eb7b4a2097058b382f554fe2edf44992f1f1e5e1f3,experiments/pusht/matrix_k4_long/eval/global/train625/eval0/results.json,1eb1eb72446c28f8be48340d7ff3a091b4038cf4c7f55dbc925b65f2faca0add
pusht,0,625,1,30.0,28.000000000000004,1.9999999999999964,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train625/eval1/results.json,fa9c96b4102c3138a4281dc35efae871ee5da93a77c17d79a5ea3f6850514215,experiments/pusht/matrix_k4_long/eval/global/train625/eval1/results.json,efe25a149c23928ed0e98c45ae51f66676ef5e323d8e4cd63ac518d242915203
pusht,0,625,2,40.0,42.0,-2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train625/eval2/results.json,fd27a4f6bb3fb227eedcc8f389760bf7262510bcf72aacb78c9580097739f0ec,experiments/pusht/matrix_k4_long/eval/global/train625/eval2/results.json,3ce8dc58f4374523f8389f678b16f91a7e115e3943e10796bcd2fc087b7900b0
pusht,0,625,3,50.0,42.0,8.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train625/eval3/results.json,54adcabf52f40455adfaf0e99472793036a03e28749838ee3fc6f7dc23e691ff,experiments/pusht/matrix_k4_long/eval/global/train625/eval3/results.json,918442b45783669597591f6fff9ada83a19833a65c4825db5d4911cb443fd572
pusht,0,625,4,44.0,56.00000000000001,-12.000000000000007,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition0_train625/eval4/results.json,cb792cae502783c786774a9b71d20bfbd4e35896fb7c717806d3629d853035c7,experiments/pusht/matrix_k4_long/eval/global/train625/eval4/results.json,51ca0265a7e5b4a1f70aa2759b434fb942d280c73bac19c93936080268719106
pusht,1,0,0,24.0,34.0,-10.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train0/eval0/results.json,84f642b2728bcb504b094cbdaf4782cd2acdfcd278af2061227f6a7bc2d7d748,experiments/pusht/matrix_k4_long/eval/global/train0/eval0/results.json,2b1bb1c76ea6f76b589ed445e1a6a495d22e13003d18e518d272f05b24cc4c85
pusht,1,0,1,28.000000000000004,30.0,-1.9999999999999964,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train0/eval1/results.json,8d53fdecf76978f418c56735aa387e02731face4ca35873e6415508b1be03d67,experiments/pusht/matrix_k4_long/eval/global/train0/eval1/results.json,d5c2db8b30696a8aeb8af6d023a9906412a3e51945ee645e54bcbaee4fe54f42
pusht,1,0,2,44.0,46.0,-2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train0/eval2/results.json,43d829a266626f3f7e42d6c974c12150dc0ba9a211c4510759ebe44520a40f26,experiments/pusht/matrix_k4_long/eval/global/train0/eval2/results.json,4ad29404dd365e6f18e07d50e8c39d40c84ae0cce049ef9b270feca069df71ee
