outer_seed,inner_restart,inner_seed,objective_final,niter,converged,cluster_frac_min,cluster_frac_mid,cluster_frac_max,fit_sec
3,41,300041,0.15657663345336914,229,1,0.3164029050601117,0.34075427355359816,0.34284282138629013,1.0123099843040109
3,42,300042,0.15634922683238983,171,1,0.31572357739663615,0.3420041045461091,0.3422723180572548,0.7553994040936232
3,43,300043,0.15680305659770966,140,1,0.31421102907148657,0.3372674979087041,0.34852147301980935,0.6173472222872078
3,44,300044,0.15580610930919647,274,1,0.314787028579029,0.33273315064035974,0.35247982078061124,1.2059774436056614
3,45,300045,0.15127500891685486,130,1,0.31714598839426944,0.3280899790375752,0.35476403256815536,0.5746375326998532
3,46,300046,0.15343669056892395,132,1,0.3208042448085846,0.33637601775485504,0.34281973743656036,0.584101065993309
3,47,300047,0.1558426171541214,400,1,0.29309251277586695,0.33183617430800366,0.37507131291612944,1.7670031203888357
3,48,300048,0.1574222892522812,108,1,0.3176197589815801,0.32951568774231277,0.3528645532761071,0.47815721202641726
3,49,300049,0.15466418862342834,154,1,0.31081988693261575,0.3356087512352661,0.3535713618321181,0.6805358682759106
4,0,400000,0.1567787379026413,141,1,0.3195961847727275,0.3358373922611608,0.3445664229661117,0.6234678342007101
4,1,400001,0.15573692321777344,85,1,0.3204975580478893,0.33251000579297213,0.34699243615913855,0.37632746109738946
4,2,400002,0.1581074595451355,138,1,0.3130381445780749,0.3411884716556578,0.3457733837662673,0.6098638926632702
4,3,400003,0.15739786624908447,167,1,0.3265620414126058,0.33338609664700136,0.34005186194039283,0.7385969050228596
4,4,400004,0.15648053586483002,68,1,0.32777010144846286,0.32798884935304484,0.3442410491984923,0.30136115616187453
4,5,400005,0.15512388944625854,132,1,0.32437346313108495,0.325528759853274,0.35009777701564104,0.5838652681559324
4,6,400006,0.15863530337810516,121,1,0.3036979388231363,0.33470078254589586,0.3616012786309679,0.5356006440706551
4,7,400007,0.15329553186893463,286,1,0.3241975854188583,0.32542433246163943,0.35037808211950233,1.2636620262637734
4,8,400008,0.1506681740283966,100,1,0.3294167565291853,0.33271006669063,0.33787317678018475,0.4425124148838222
4,9,400009,0.15868887305259705,114,1,0.3266203009047809,0.335484537601006,0.33789516149421306,0.5046150200068951
4,10,400010,0.15815994143486023,123,1,0.3283658871986308,0.3322329983962151,0.3394011144051541,0.5442248196341097
4,11,400011,0.1543239951133728,136,1,0.313829594283095,0.341278608983174,0.34489179673373105,0.6016464247368276
4,12,400012,0.1556306779384613,103,1,0.3187838495893805,0.33264960872705207,0.34856654168356743,0.4559691050089896
4,13,400013,0.15451237559318542,84,1,0.3237227155958462,0.33422371425148095,0.34205357015267285,0.3722275667823851
4,14,400014,0.15687859058380127,159,1,0.3077958895180181,0.31987209293378316,0.3723320175481987,0.7032563551329076
4,15,400015,0.1575484275817871,203,1,0.3171635761654921,0.32671703364650556,0.35611939018800226,0.8972635781392455
4,16,400016,0.1572842001914978,78,1,0.30041781949010854,0.3150233642548336,0.38455881625505783,0.34535437589511275
4,17,400017,0.1578458696603775,95,1,0.30660871496048797,0.34390358383815733,0.3494877012013547,0.42085051676258445
4,18,400018,0.15698321163654327,127,1,0.3192642155908996,0.3237820743237227,0.35695371008537763,0.5622999081388116
4,19,400019,0.15733706951141357,272,1,0.29425770261936873,0.34690779501012947,0.3588345023705018,1.202507602982223
4,20,400020,0.15077216923236847,86,1,0.32121206125381024,0.32687862129461387,0.35190931745157594,0.38093130802735686
4,21,400021,0.153705433011055,174,1,0.3081399502925616,0.31652492022296896,0.37533512948446945,0.7701643849723041
4,22,400022,0.15569724142551422,209,1,0.3042882283947971,0.33771048989637503,0.35800128170882783,0.924613915849477
4,23,400023,0.15664279460906982,131,1,0.32070091665265144,0.33477772904499503,0.3445213543023536,0.5796176199801266
4,24,400024,0.1578398495912552,128,1,0.31028455914602576,0.34075427355359816,0.3489611673003761,0.5659835617989302
4,25,400025,0.15619274973869324,254,1,0.2994362020087433,0.3486654728966949,0.35189832509456176,1.1224791770800948
4,26,400026,0.15821465849876404,165,1,0.3229345635979304,0.33478212598780066,0.34228331041426896,0.7302280641160905
4,27,400027,0.15524879097938538,159,1,0.3191960629774118,0.3331079900145429,0.3476959470080453,0.7033652900718153
4,28,400028,0.15568354725837708,160,1,0.3200831461884552,0.3277986815766997,0.3521181722348451,0.7073637251742184
4,29,400029,0.15878376364707947,111,1,0.32673572065342965,0.32883526084313575,0.34442901850343455,0.4913585209287703
4,30,400030,0.15330901741981506,87,1,0.31622372964078077,0.3356351328921001,0.3481411374671191,0.38517640298232436
4,31,400031,0.15332317352294922,152,1,0.3098800404079044,0.3291617338464566,0.36095822574563907,0.672405987046659
4,32,400032,0.155558243393898,107,1,0.3117465426289101,0.3173988126055953,0.37085464476549457,0.47353500174358487
4,33,400033,0.1542254090309143,93,1,0.33009388572125803,0.3323308303736412,0.3375752839051008,0.41197205195203424
4,34,400034,0.15705452859401703,358,1,0.32536277526236007,0.32980258826038256,0.3448346364772574,1.5827626041136682
4,35,400035,0.15781304240226746,110,1,0.307877232959923,0.32582445425695516,0.3662983127831219,0.48713690508157015
4,36,400036,0.1558622419834137,225,1,0.3242778296250617,0.32971684787567207,0.34600532249926624,0.9949342953041196
4,37,400037,0.1560838371515274,143,1,0.3198687952266789,0.33028625196900596,0.34984495280431516,0.632620011921972
4,38,400038,0.15486446022987366,125,1,0.3044696022855309,0.3169975915745782,0.37853280613989093,0.553432933986187
4,39,400039,0.1535308063030243,98,1,0.31262703042574497,0.33496789682134015,0.3524050727529149,0.43355671875178814
4,40,400040,0.15461722016334534,179,1,0.32485163066120126,0.3315184951902942,0.34362987414850454,0.7919253068976104
4,41,400041,0.15706102550029755,324,1,0.32829663534944153,0.3345963551542612,0.33710700949629724,1.431297002825886
4,42,400042,0.1541714370250702,164,1,0.31393182320332674,0.32901773396957096,0.3570504428271023,0.7253379700705409
