preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine,restart_budget
zscore_kmeanspp_R1,4,16,0.37931615750689796,0.35545648484432885,0.6946345206178144,0.6651516755421957,1
zscore_kmeanspp_R1,4,17,0.16674424358410442,0.1536318747850697,0.5427531237530545,0.44232308864593506,1
zscore_kmeanspp_R1,4,18,0.2519819062049107,0.2524817796602079,0.5696217420027855,0.4534413143992424,1
zscore_kmeanspp_R1,4,19,0.1787051218259774,0.1621199561382293,0.5717003967141646,0.4837353726228078,1
zscore_kmeanspp_R1,5,6,0.10314762956598095,0.09069564286888541,0.5160625816869531,0.39357849955558777,1
zscore_kmeanspp_R1,5,7,0.2413005127298413,0.24952763216891263,0.5629383889381713,0.4563862482706706,1
zscore_kmeanspp_R1,5,8,0.12319245454588801,0.1126296505089388,0.5275649840665785,0.4181465009848277,1
zscore_kmeanspp_R1,5,9,0.15716894416966246,0.1495079477322711,0.5463740061535215,0.4568731139103572,1
zscore_kmeanspp_R1,5,10,0.18929352406024957,0.17198625827027378,0.575018989296742,0.48218167821566266,1
zscore_kmeanspp_R1,5,11,0.1932835093595142,0.18277988120313196,0.5592922241165718,0.44429081678390503,1
zscore_kmeanspp_R1,5,12,0.12107411109234056,0.1089523589965508,0.5373965481800504,0.4262593189875285,1
zscore_kmeanspp_R1,5,13,0.11559392153848312,0.11516638536701962,0.5163241997838902,0.3901412785053253,1
zscore_kmeanspp_R1,5,14,0.1709898838593321,0.16803386846481047,0.5412295830708909,0.4172869324684143,1
zscore_kmeanspp_R1,5,15,0.26085541657429473,0.2637318345665168,0.6237415125263405,0.5562949081261953,1
zscore_kmeanspp_R1,5,16,0.20478659571376773,0.18796579440117508,0.5495288126165877,0.44632579882939655,1
zscore_kmeanspp_R1,5,17,0.2200651538244064,0.19663689546937127,0.6207878661966335,0.5939444502194723,1
zscore_kmeanspp_R1,5,18,0.15112520961489903,0.14208991173543262,0.5507346741810419,0.4714787205060323,1
zscore_kmeanspp_R1,5,19,0.08034879445753135,0.07253467006799301,0.5117227991377595,0.37305619319279987,1
zscore_kmeanspp_R1,6,7,0.10524516881652662,0.10299270185404213,0.4733781601652371,0.28853260229031247,1
zscore_kmeanspp_R1,6,8,0.17097304102909344,0.1626498003734658,0.5360521829172177,0.39710411181052524,1
