task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
pusht,4,0,0,1,490852,743174,0.058878169698985766,0.006665535409476338,0.05221263428950943,0.6711178434605808,0.0824804658061674,0.9341441257219862,0.6715873960699895
pusht,4,0,0,2,490852,663706,0.06574656962717991,0.01346478197384406,0.05228178765333585,0.525279885491463,0.14818975606537393,0.879747732508515,0.5300068981343671
pusht,4,0,0,3,490852,383501,0.061477121236895756,0.008374107650307718,0.05310301358658804,0.6536401491115305,0.035065234546095975,0.9341445204000828,0.6533124159230879
pusht,4,0,1,2,743174,663706,0.0585587176469905,0.010691078601758424,0.04786763904523207,0.5064945489850773,0.2306702218715413,0.8582699246549527,0.5177865007494219
pusht,4,0,1,3,743174,383501,0.052978715408830195,0.006610774948225972,0.046367940460604225,0.6192681288398032,0.0474152312600713,0.924015663101898,0.6196785567881816
pusht,4,0,2,3,663706,383501,0.06717848021082153,0.012432775837318175,0.05474570437350335,0.5647557846856031,0.18325499061147,0.8998130306322124,0.5719631680246158
pusht,4,1,0,1,474361,716579,0.058612596667499794,0.005754588451158355,0.052858008216341436,0.6759807314084589,0.0583942108909539,0.9372251050168502,0.6763986619567226
pusht,4,1,0,2,474361,708922,0.062256640673834476,0.011247322415114412,0.051009318258720064,0.5215954936368836,0.14720162435823872,0.8773831143524813,0.5254831356368778
pusht,4,1,0,3,474361,381371,0.05872664478020576,0.006741211140880719,0.05198543363932504,0.6577826503056554,0.046901132130955966,0.9339285722879754,0.6573345692207384
pusht,4,1,1,2,716579,708922,0.059197034013438815,0.01024325106113445,0.04895378295230437,0.5205110684201816,0.20559583524919264,0.86332762366402,0.5284543010520237
pusht,4,1,1,3,716579,381371,0.05242887259640987,0.006467665688813186,0.04596120690759668,0.6174925171602385,0.011493078759997924,0.9232945338564276,0.6170915862612169
pusht,4,1,2,3,708922,381371,0.06561291489113803,0.011903513840775874,0.05370940105036216,0.5686569885416038,0.19410275648919467,0.9004181090444052,0.5766534658498518
pusht,4,2,0,1,629183,498048,0.07238735660778434,0.007274079421909552,0.06511327718587478,0.7109944149297922,0.013455416713557745,0.9506681188523404,0.7110204492501536
pusht,4,2,0,2,629183,784372,0.057926674243222155,0.0076824906352467495,0.050244183607975404,0.5597343964876442,0.006486343748334871,0.8866587224154759,0.5594645756175836
pusht,4,2,0,3,629183,369630,0.06282305636948897,0.008364761248487267,0.0544582951210017,0.6416724921941453,0.065903914702097,0.9333907414188891,0.6416436865798874
pusht,4,2,1,2,498048,784372,0.059767813004768196,0.008732156335342698,0.0510356566694255,0.5607750071011031,0.019941760461892576,0.8950549592336069,0.5604429266697379
pusht,4,2,1,3,498048,369630,0.06331045626847005,0.009331301247635215,0.05397915502083484,0.6265001312625389,0.07935933141565481,0.9237450571407493,0.6261526736554931
pusht,4,2,2,3,784372,369630,0.05629824397751311,0.0077262362137024854,0.048572007763810626,0.5762242049795022,0.05941757095376213,0.9059248899055395,0.5769620409468993
reacher,4,0,0,1,495384,471429,0.01993690840607266,0.00018520747017263266,0.019751700935900028,1.611425080057682,0.07687932297119991,0.8520915592419541,0.390020531252462
reacher,4,0,0,2,495384,503643,0.01425654135875327,0.00013306756975725934,0.01412347378899601,1.2113776541946686,0.028340252228186705,0.9673900609879589,0.7885441657490736
reacher,4,0,0,3,495384,509696,0.011277964322044629,0.00013405255054240014,0.011143911771502228,0.9338914856765494,0.05051459209389316,0.9237189337346828,0.7579827429115639
reacher,4,0,1,2,471429,503643,0.011414130549297052,0.00011320862630568047,0.011300921922991371,0.8966796261975256,0.04853907074301323,0.9284689067346026,0.7440214876841813
reacher,4,0,1,3,471429,509696,0.0157467323426884,0.0001459713456821427,0.015600760997006259,1.211950220058224,0.02636473087730689,0.9662541096580587,0.7857023866420002
reacher,4,0,2,3,503643,509696,0.020073377473729462,0.00023139754541098582,0.019841979928318477,1.618314076057802,0.02217433986570641,0.8559441771097062,0.3818377682068607
reacher,4,1,0,1,496420,504173,0.021385582828948438,0.00025867979675951464,0.021126903032188924,1.6320642471536955,0.06869520303974755,0.8497381928006223,0.369421068350349
reacher,4,1,0,2,496420,505767,0.011796190297665056,0.00013962782493760417,0.011656562472727451,0.9693242901739595,0.15294318841272522,0.918107609021095,0.7809400727504007
reacher,4,1,0,3,496420,473792,0.016759094263563853,0.00016791036007858371,0.016591183903485268,1.2153278336045206,0.01417666608273257,0.9640749820758441,0.7657162413786731
reacher,4,1,1,2,504173,505767,0.012912924438698932,0.00011750361924440307,0.012795420819454529,1.1499183169263396,0.08424798537297755,0.9746945208349626,0.8504392537294637
reacher,4,1,1,3,504173,473792,0.011894676291489381,0.00012630813354893417,0.011768368157940447,0.9219396476526514,0.0545185369570151,0.9196138765083709,0.7539645263845496
reacher,4,1,2,3,505767,473792,0.018989761537467727,0.0001875090003213233,0.018802252537146406,1.5953904782499457,0.13876652232999273,0.8605533731166327,0.409931861130957
reacher,4,2,0,1,497691,479634,0.011082633241922197,0.00010737357781123197,0.010975259664110965,0.8760571823745344,0.01864827760882682,0.9240384477010435,0.726642944051249
reacher,4,2,0,2,497691,501563,0.014688758753296139,0.00013966520293890507,0.014549093550357233,1.2390549803082336,0.08623591825403873,0.9627407358771,0.7615946422449207
reacher,4,2,0,3,497691,501264,0.02100261203949394,0.0002466270699728944,0.020755984969521045,1.6040176980245824,0.013845991219099262,0.863209483121792,0.3959647556574148
reacher,4,2,1,2,479634,501563,0.018648997654114395,0.00017314489787516505,0.01847585275623923,1.605619097592803,0.06758764064521185,0.8557522905647529,0.3952935066053323
reacher,4,2,1,3,479634,501264,0.01579608363231417,0.0001504512259834471,0.015645632406330722,1.23139548005671,0.0324942688279262,0.964872841057841,0.7677914564368965
reacher,4,2,2,3,501563,501264,0.011207906612355234,0.00013897065104079284,0.011068935961314441,0.9274888673176519,0.10008190947313793,0.9167783050495654,0.7450133062884773
cube,4,0,0,1,544027,666264,0.07132742286747457,0.0007234090351342341,0.07060401383234033,0.7944088690936737,0.01946543636336727,0.8619948827387361,0.6003056463503333
cube,4,0,0,2,544027,408716,0.08716719147216138,0.0008029376698711671,0.08636425380229022,0.7901528002910702,0.16955952607496394,0.9190261450810483,0.7649853103575308
cube,4,0,0,3,544027,361145,0.08684997370773533,0.0010444737518865127,0.08580549995584881,0.7894757883724279,0.16488748004862744,0.9155284858627752,0.7697032042859654
cube,4,0,1,2,666264,408716,0.0881007919786594,0.0006026099829405701,0.08749818199571884,0.8132298180244935,0.1890249624383313,0.876189470777345,0.6543830293788429
cube,4,0,1,3,666264,361145,0.08753442570383228,0.0008903514454549989,0.08664407425837728,0.8098481686799113,0.18435291641199475,0.8944338439107454,0.6579860694410931
