task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
pusht,4,0,1,3,743174,383501,0.052978715426409084,0.006610774948310656,0.046367940478098425,0.6192681288392649,0.04741523133679915,0.9240156631018979,0.6196785567890278
pusht,4,0,2,3,663706,383501,0.0671784802313083,0.012432775837504092,0.05474570439380422,0.5647557846849873,0.18325499055289104,0.8998130306322123,0.571963168019466
pusht,4,1,0,1,474361,716579,0.05861259668569222,0.005754588451313385,0.052858008234378834,0.6759807314073689,0.05839421092303931,0.9372251050168502,0.6763986619562219
pusht,4,1,0,2,474361,708922,0.06225664069085346,0.011247322415182115,0.051009318275671345,0.521595493636714,0.14720162432729084,0.8773831143524814,0.5254831356345308
pusht,4,1,0,3,474361,381371,0.058726644801768556,0.006741211141101757,0.0519854336606668,0.6577826503068804,0.04690113209165349,0.9339285722879757,0.6573345692214309
pusht,4,1,1,2,716579,708922,0.05919703402868903,0.010243251061196525,0.04895378296749251,0.5205110684205517,0.20559583525033007,0.86332762366402,0.5284543010524568
pusht,4,1,1,3,716579,381371,0.052428872613987695,0.006467665688924314,0.04596120692506338,0.6174925171598158,0.01149307883138591,0.9232945338564277,0.6170915862610958
pusht,4,1,2,3,708922,381371,0.06561291491059912,0.01190351384105043,0.05370940106954869,0.5686569885416375,0.19410275641894426,0.9004181090444052,0.5766534658441834
pusht,4,2,0,1,629183,498048,0.07238735663238052,0.007274079422103136,0.06511327721027739,0.7109944149263214,0.013455416715557,0.9506681188523398,0.7110204492466896
pusht,4,2,0,2,629183,784372,0.05792667425911701,0.0076824906353245995,0.05024418362379241,0.5597343964862231,0.006486343809315833,0.8866587224154762,0.559464575616413
pusht,4,2,0,3,629183,369630,0.0628230563924955,0.008364761248627285,0.05445829514386821,0.6416724921949042,0.06590391465631103,0.9333907414188891,0.6416436865794775
pusht,4,2,1,2,498048,784372,0.05976781302115976,0.008732156335414699,0.05103565668574506,0.560775007100483,0.01994176052487286,0.895054959233607,0.560442926669717
pusht,4,2,1,3,498048,369630,0.06331045629146487,0.009331301247855346,0.05397915504360953,0.6265001312638231,0.07935933137186789,0.923745057140749,0.6261526736556109
pusht,4,2,2,3,784372,369630,0.056298243994640576,0.007726236213846468,0.04857200778079411,0.5762242049784717,0.05941757084699508,0.9059248899055399,0.5769620409431884
reacher,4,0,0,1,495384,471429,0.019936908414177435,0.00018520747017261485,0.01975170094400482,1.6114250800577299,0.0768793229813347,0.8520915592419543,0.39002053125290065
reacher,4,0,0,2,495384,503643,0.014256541364349978,0.00013306756975721353,0.014123473794592764,1.211377654194705,0.028340252224822886,0.9673900609879591,0.7885441657490148
reacher,4,0,0,3,495384,509696,0.01127796432643232,0.00013405255054228018,0.011143911775890039,0.9338914856765176,0.05051459208828471,0.9237189337346828,0.757982742911441
reacher,4,0,1,2,471429,503643,0.011414130553898706,0.0001132086263057187,0.011300921927592987,0.8966796261975277,0.04853907075651186,0.9284689067346031,0.7440214876843726
reacher,4,0,1,3,471429,509696,0.015746732348999547,0.00014597134568213236,0.015600761003317415,1.211950220058208,0.026364730893050043,0.966254109658059,0.7857023866420965
reacher,4,0,2,3,503643,509696,0.02007337748148101,0.00023139754541095118,0.01984197993607006,1.6183140760577748,0.022174339863461717,0.8559441771097066,0.38183776820685744
reacher,4,1,0,1,496420,504173,0.021385582837315356,0.0002586797967594695,0.021126903040555887,1.6320642471536855,0.06869520304306441,0.8497381928006223,0.369421068350503
reacher,4,1,0,2,496420,505767,0.01179619030227789,0.00013962782493745761,0.011656562477340432,0.9693242901739145,0.15294318841679147,0.9181076090210949,0.7809400727504947
reacher,4,1,0,3,496420,473792,0.016759094270340027,0.00016791036007857303,0.016591183910261455,1.215327833604502,0.014176666073404214,0.9640749820758439,0.7657162413786504
reacher,4,1,1,2,504173,505767,0.012912924443713643,0.00011750361924435262,0.01279542082446929,1.1499183169263736,0.08424798537372702,0.9746945208349627,0.8504392537294367
reacher,4,1,1,3,504173,473792,0.011894676296267394,0.00012630813354895878,0.011768368162718435,0.9219396476526767,0.05451853696966012,0.9196138765083708,0.7539645263847372
