task,train_seed,horizon,region,num_episodes,num_anchors,region_weight,global_mse,correct_mse,wrong_mean_mse,wrong_best_mse,global_minus_correct,relative_gain,wrong_penalty,mean_trajectory_global_mse,mean_trajectory_correct_mse,mean_trajectory_wrong_mean_mse,mean_trajectory_wrong_best_mse,low_support,terminal_global_mse,terminal_correct_mse,terminal_wrong_mean_mse,terminal_wrong_best_mse,anchor_support
pusht,42,10,1,869,40511,0.43388527118498843,0.047400759436765805,0.07713296419144942,0.8229773900454459,0.5803244750047094,-0.02973220475468362,-0.6272516539391605,0.7458444258539965,0.047400759436765805,0.07713296419144942,0.8229773900454459,0.5803244750047094,False,0.11719295175152414,0.2162472169991694,1.326451340752439,1.0031813650369714,horizon_valid
pusht,42,10,2,619,25492,0.2730271613400737,0.0434908218247809,0.05573719812474173,0.9036768406942625,0.6765487658171124,-0.01224637629996083,-0.2815853043499604,0.8479396425695207,0.0434908218247809,0.05573719812474173,0.9036768406942625,0.6765487658171124,False,0.11104343588782817,0.1583427307293016,1.4215230677093604,1.1247848927683324,horizon_valid
pusht,625,1,0,1406,78200,0.3835382630915538,0.0025707022448419182,0.002689101623714274,0.07068841361909393,0.022162442868986332,-0.00011839937887235573,-0.04605721223059676,0.06799931199537966,0.0025707022448419182,0.002689101623714274,0.07068841361909393,0.022162442868986332,False,0.0025707022448419182,0.002689101623714274,0.07068841361909393,0.022162442868986332,horizon_valid
pusht,625,1,1,1041,72663,0.35638159604886926,0.0033280827764101705,0.003400472303567453,0.12181818511368975,0.053477186854544945,-7.238952715728263e-05,-0.0217511197949726,0.1184177128101223,0.0033280827764101705,0.003400472303567453,0.12181818511368975,0.053477186854544945,False,0.0033280827764101705,0.003400472303567453,0.12181818511368975,0.053477186854544945,horizon_valid
pusht,625,1,2,830,53028,0.2600801408595769,0.0029097282826516155,0.0030157197170040872,0.1331592484503464,0.06383675496185878,-0.00010599143435247168,-0.03642657459956447,0.1301435287333423,0.0029097282826516155,0.0030157197170040872,0.1331592484503464,0.06383675496185878,False,0.0029097282826516155,0.0030157197170040872,0.1331592484503464,0.06383675496185878,horizon_valid
pusht,625,5,0,988,43781,0.3161402596652369,0.011834684546790944,0.014713825438832538,0.31195043680893475,0.13552421633113207,-0.002879140892041594,-0.24327990160264076,0.2972366113701022,0.011834684546790944,0.014713825438832538,0.31195043680893475,0.13552421633113207,False,0.02450846104346287,0.03260952672877059,0.568070037301937,0.2650897388675826,horizon_valid
pusht,625,5,1,964,55411,0.4001198677122597,0.015309344359550382,0.01897736976439489,0.46279421546177035,0.2687155608802223,-0.003668025404844507,-0.23959389237699744,0.44381684569737545,0.015309344359550382,0.01897736976439489,0.46279421546177035,0.2687155608802223,False,0.031339637582366874,0.0420563449765129,0.7910050892939321,0.48940293595951934,horizon_valid
pusht,625,5,2,761,39294,0.28373987262250333,0.013115313880443088,0.015663713253110518,0.5101686710788332,0.3218103972908779,-0.0025483993726674297,-0.1943071584788739,0.49450495782572274,0.013115313880443088,0.015663713253110518,0.5101686710788332,0.3218103972908779,False,0.027832053113724903,0.03527358463399272,0.8591771433259825,0.5719257432142402,horizon_valid
pusht,625,10,0,674,27365,0.29308756747493786,0.03603824617936079,0.05896501324334847,0.6334260825870404,0.3762572582173852,-0.022926767063987677,-0.636178768241999,0.5744610693436919,0.03603824617936079,0.05896501324334847,0.6334260825870404,0.3762572582173852,False,0.08517393741008306,0.15581908251022697,1.1307364853465378,0.7466318896521594,horizon_valid
pusht,625,10,1,869,40511,0.43388527118498843,0.047886620612444676,0.07544451577483811,0.8151635872621192,0.5703545687298965,-0.027557895162393438,-0.57548214532457,0.7397190714872811,0.047886620612444676,0.07544451577483811,0.8151635872621192,0.5703545687298965,False,0.11981323227883982,0.2146405788368128,1.3161204323757285,0.9869163432286358,horizon_valid
pusht,625,10,2,619,25492,0.2730271613400737,0.04173704030261093,0.056503255320973195,0.9055812195212359,0.6749794154768644,-0.014766215018362262,-0.35379161798012154,0.8490779642002627,0.04173704030261093,0.056503255320973195,0.9055812195212359,0.6749794154768644,False,0.10153384275805794,0.1592776813613823,1.423831977424751,1.1219766804534,horizon_valid
