model,task,num_clusters,partition_seed,region,transition_count,episode_count,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95
subjepa,pusht,4,2,3,400399,7758,1.3599867859588266,0.008124261098207878,1.3733500060735537,1.1661847134818852,1.1719001689877657
subjepa,reacher,2,0,0,983902,7177,10.893282791444342,0.015836045298143923,10.919330767562757,3.300497355163967,3.304441067345998
subjepa,reacher,2,0,1,996250,7242,10.947445386218007,0.01648808687418181,10.974565875270118,3.308692398247079,3.3127882327836953
subjepa,reacher,2,1,0,984110,7188,10.890931347879675,0.015817524448731142,10.916948859912258,3.300141110298115,3.3040806376225533
subjepa,reacher,2,1,1,996042,7265,10.951211438539598,0.01654554839301436,10.978426443377822,3.3092614642151803,3.3133708581107886
subjepa,reacher,2,2,0,986968,7194,10.92965481332045,0.01643720144675134,10.956691603294065,3.306002845328547,3.3100893648501493
subjepa,reacher,2,2,1,993184,7212,10.912210391324932,0.015905985568325162,10.93837340894854,3.303363496699225,3.3073211832158877
subjepa,reacher,3,0,0,788478,6367,10.340139056746379,0.014087518234130913,10.363310961828855,3.215608660385523,3.219209679692961
subjepa,reacher,3,0,1,601542,6420,11.246543552741969,0.022055825805672096,11.282822157219401,3.3535866699314583,3.358991241015582
subjepa,reacher,3,0,2,590132,6380,11.285183136233153,0.024557481021151184,11.325576597297726,3.3593426643069852,3.3653494019637433
subjepa,reacher,3,1,0,598515,6410,11.295963560796944,0.02326954870925284,11.334238561761733,3.360946825047511,3.366636089891768
subjepa,reacher,3,1,1,798544,6412,10.397219643513752,0.014822048397015123,10.421599743178957,3.224471994530849,3.2282502603080445
subjepa,reacher,3,1,2,583093,6320,11.174149411331156,0.022515547146456164,11.211184190110973,3.342775704610041,3.348310647193742
subjepa,reacher,3,2,0,590023,6416,11.2945582732306,0.023656505582862006,11.33346976160199,3.360737757283451,3.366521908676964
subjepa,reacher,3,2,1,791187,6381,10.379870948440113,0.014704507305413493,10.404057710217648,3.2217807107933516,3.2255321592285586
subjepa,reacher,3,2,2,598942,6474,11.18741002976664,0.022194101133753204,11.223916076915259,3.3447585906559296,3.3502113480966034
subjepa,reacher,4,0,0,502998,5804,10.951111934359112,0.02349015953144607,10.989749807828986,3.3092464299835864,3.315079155590253
subjepa,reacher,4,0,1,487391,5586,10.792786632877585,0.021422010355928126,10.82802270373077,3.285237682859124,3.2905961015795864
subjepa,reacher,4,0,2,497780,5772,10.705512350427279,0.019759403000247765,10.738013675586087,3.271927925616223,3.276890855000527
subjepa,reacher,4,0,3,491983,5625,11.121313696414752,0.026288320352242902,11.164554134784092,3.33486336997706,3.341340170468145
subjepa,reacher,4,1,0,509935,5801,10.86149867148125,0.0227264711198311,10.898880389318,3.2956787876674585,3.301345239340775
subjepa,reacher,4,1,1,472734,5482,10.68297135414664,0.020361431727932512,10.716462928425484,3.2684815058596612,3.273600911599562
