model,task,num_clusters,partition_seed,transition_count,episode_count,q_full,fold_q_min,fold_q_max,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95,response_scale,normalized_affine_l2,normalized_affine_l2_upper95,q_bootstrap_mean,q_ci_low,q_ci_high,epsilon_q_95,epsilon_score_95,bootstrap_valid,bootstrap_failures
subjepa,pusht,3,1,2281233,18685,0.2297646512829378,0.22937627004502853,0.23028050731513872,1.8635581572570399,0.004862762533241552,1.8715566897157874,1.3651220301705778,1.36804849684351,0.09358090739828841,4.462496097430108,4.472062528722399,0.2299069869920594,0.2277246119600454,0.23211262811746697,0.0021940574237389317,0.004388114847477863,500,0
subjepa,pusht,3,2,2281233,18685,0.23812589737116574,0.23783827285920184,0.23862995465173567,1.8629161656633018,0.00485666993853238,1.8709046766957085,1.364886869181216,1.367810175680715,0.09512983072207935,4.425254921075231,4.434732905489046,0.2383201966810797,0.23562570658847307,0.24072049864328926,0.002575940113790342,0.005151880227580684,500,0
subjepa,pusht,4,0,2281233,18685,0.2730020717784171,0.2720610074908259,0.27459547241596394,1.8477958511792072,0.004803110044884557,1.8556962640277317,1.3593365481657613,1.362239429772803,0.12828632581484456,3.7952187275164313,3.8033234685047272,0.27262583073785945,0.26957986088562,0.2755192655932857,0.003025080458456879,0.006050160916913758,500,0
subjepa,pusht,4,1,2281233,18685,0.21992035861148002,0.21894944687655382,0.22049077491000033,1.8508750269694065,0.004828886047590324,1.8588178375687752,1.3604686791578138,1.363384699037207,0.12274632430442246,3.883151188793801,3.8914743102553118,0.22010652653918045,0.2176059646315124,0.2227586971692694,0.002666874884091363,0.005333749768182726,500,0
subjepa,pusht,4,2,2281233,18685,0.2251621257900349,0.22470063686522176,0.22570408619643972,1.8503422497063349,0.004829308114161569,1.8582857545434228,1.3602728585494657,1.3631895519491861,0.12429079995958803,3.858393711366416,3.8666668687706336,0.22517993593896704,0.22222317621651627,0.22838712676268194,0.0030990797167800774,0.006198159433560155,500,0
subjepa,reacher,2,0,1980152,10000,0.12552856960470107,0.12443299222018121,0.12753584443911575,10.920532964685219,0.012252276862915449,10.940686166391382,3.304622968613094,3.3076708068354357,0.04863706319326567,14.984361618532763,14.998181624782225,0.1274043637737115,0.1227961094383536,0.1323179510549072,0.005745197918252873,0.011490395836505745,500,0
subjepa,reacher,2,1,1980152,10000,0.12729396486634134,0.12601161641867595,0.1292839933138141,10.921253011095978,0.01226056872373228,10.941419851699257,3.3047319121368948,3.307781711615695,0.04794851618745174,15.092064346864678,15.105992184644814,0.12912448700554957,0.12420224625665945,0.13428366459430152,0.006199168245567816,0.012398336491135632,500,0
subjepa,reacher,2,2,1980152,10000,0.12625348922691113,0.12496934043192057,0.12811719992648715,10.920905221968274,0.012247769633004828,10.941051009941093,3.3046792918478904,3.3077259575032953,0.04825197810302464,15.044292131238834,15.058161836616659,0.12806350811563852,0.12362346463388114,0.1332447262929341,0.006052260358391121,0.012104520716782242,500,0
subjepa,reacher,3,0,1980152,10000,0.1944064296175104,0.19151168970629934,0.19902693286084241,10.89713727003802,0.012392458446564636,10.917521049926702,3.3010812274220123,3.3041672248732663,0.09468327582748538,10.728019970199744,10.738049000085475,0.19559252578019298,0.1863163720123936,0.20426733505277678,0.009177904368724387,0.018355808737448773,500,0
subjepa,reacher,3,1,1980152,10000,0.20351257271205508,0.19876251140009302,0.20526312037586064,10.897652956087082,0.01238051500614956,10.9180170907648,3.301159335155921,3.304242286934298,0.09380702948322155,10.778263452510405,10.788329269729484,0.2029012658472871,0.19680738312206061,0.2096497802008864,0.006556287813898599,0.013112575627797197,500,0
